ID,PseAAC_lambda1,PseAAC_lambda2,PseAAC_lambda3,PseAAC_lambda4,PseAAC_lambda5
Negative_F1836,0.061346,0.073776,0.067512,0.081337,0.088718
Negative_F1250,0.061177,0.061454,0.059930,0.064473,0.057316
Negative_F714,0.067914,0.077493,0.054606,0.053216,0.069874
Negative_F981,0.065761,0.087474,0.058825,0.039297,0.065947
Negative_F580,0.065191,0.073209,0.065650,0.070793,0.074847
Negative_F1295,0.032434,0.058229,0.047383,0.036583,0.039133
Negative_F2410,0.043186,0.052946,0.052649,0.036009,0.041285
Negative_F2009,0.082270,0.053128,0.095655,0.062219,0.088955
Negative_F2245,0.131940,0.069091,0.112575,0.086338,0.097224
Negative_F1255,0.074034,0.069934,0.055694,0.067697,0.053773
Negative_F2141,0.093044,0.135582,0.065939,0.043731,0.129341
Negative_F1177,0.076801,0.078313,0.071790,0.093274,0.079664
Negative_F240,0.073778,0.067408,0.082791,0.079030,0.061397
Negative_F1134,0.055339,0.076357,0.060440,0.041563,0.049611
Negative_F1386,0.059914,0.060772,0.055366,0.061301,0.046454
Negative_F1360,0.045161,0.065123,0.050334,0.047350,0.062669
Negative_F294,0.092775,0.086943,0.067530,0.083760,0.114374
Negative_F215,0.071067,0.074815,0.062767,0.085268,0.070878
Negative_F1253,0.047979,0.040733,0.053291,0.041084,0.051760
Negative_F2133,0.088361,0.120982,0.055485,0.050594,0.119968
Negative_F233,0.055825,0.067803,0.056767,0.064282,0.054488
Negative_F2036,0.064697,0.091196,0.074468,0.068324,0.084469
Negative_F822,0.071202,0.064152,0.078307,0.069328,0.073547
Negative_F1069,0.069250,0.068954,0.059467,0.070672,0.076567
Negative_F2110,0.064113,0.065991,0.072610,0.058602,0.070429
Negative_F271,0.056339,0.085870,0.069021,0.055723,0.076607
Negative_F751,0.044396,0.038181,0.054734,0.044570,0.046323
Negative_F497,0.058223,0.059248,0.062274,0.060287,0.066863
Negative_F522,0.080705,0.092324,0.068057,0.041527,0.075730
Negative_F493,0.062733,0.061176,0.053176,0.049868,0.058952
Negative_F538,0.063360,0.069372,0.065932,0.062174,0.028936
Negative_F374,0.051820,0.070895,0.058040,0.038895,0.074055
Negative_F636,0.047734,0.069601,0.037117,0.024389,0.052946
Negative_F322,0.074726,0.072354,0.062005,0.069651,0.068871
Negative_F590,0.063341,0.069196,0.050517,0.052116,0.050691
Negative_F2432,0.078857,0.098041,0.064417,0.091135,0.106869
Negative_F455,0.067463,0.072383,0.062084,0.044005,0.069392
Negative_F2337,0.028954,0.047567,0.069198,0.093944,0.129520
Negative_F1151,0.081038,0.079414,0.060486,0.078282,0.094534
Negative_F1504,0.068209,0.063461,0.061606,0.059709,0.067926
Negative_F2302,0.050106,0.050100,0.056246,0.044767,0.048471
Negative_F2255,0.067405,0.086205,0.056021,0.062699,0.085807
Negative_F646,0.062331,0.067638,0.061318,0.063956,0.077381
Negative_F1292,0.072518,0.079548,0.080747,0.052282,0.072814
Negative_F2121,0.058919,0.077355,0.075698,0.064626,0.065713
Negative_F391,0.053333,0.062586,0.060145,0.053598,0.047919
Negative_F514,0.064700,0.061525,0.059134,0.051258,0.070412
Negative_F583,0.062518,0.066234,0.048395,0.045531,0.066969
Negative_F1209,0.045264,0.049887,0.052917,0.052618,0.031588
Negative_F2385,0.065425,0.084546,0.070395,0.072200,0.097234
Negative_F1862,0.079114,0.077913,0.067024,0.056574,0.073628
Negative_F621,0.062781,0.060607,0.061712,0.059402,0.057865
Negative_F2211,0.070233,0.057627,0.092932,0.088556,0.105686
Negative_F2212,0.108131,0.092864,0.081831,0.132830,0.087281
Negative_F157,0.086484,0.068321,0.060748,0.075076,0.064882
Negative_F939,0.051809,0.064694,0.046007,0.034020,0.052523
Negative_F1557,0.053252,0.070242,0.041304,0.064313,0.072395
Negative_F47,0.064991,0.074090,0.067020,0.032439,0.060231
Negative_F1101,0.052505,0.071013,0.061594,0.053136,0.058328
Negative_F1962,0.067016,0.051884,0.054501,0.048217,0.049493
Negative_F2224,0.101460,0.085978,0.063134,0.084615,0.093946
Negative_F2438,0.060189,0.061324,0.054108,0.071643,0.048247
Negative_F512,0.066487,0.072449,0.062046,0.038963,0.067345
Negative_F883,0.076740,0.089790,0.052498,0.052337,0.082165
Negative_F900,0.059595,0.082729,0.077935,0.052210,0.070602
Negative_F320,0.058327,0.063543,0.068969,0.058711,0.072999
Negative_F1947,0.061574,0.059583,0.067969,0.064626,0.054686
Negative_F851,0.070383,0.092023,0.071874,0.031058,0.077182
Negative_F568,0.083425,0.092419,0.073449,0.055341,0.100785
Negative_F451,0.070745,0.080343,0.073362,0.068950,0.065253
Negative_F1780,0.075066,0.071696,0.077011,0.064373,0.076734
Negative_F249,0.078180,0.093050,0.070392,0.078216,0.052007
Negative_F1387,0.046818,0.044476,0.058579,0.055257,0.052945
Negative_F488,0.041166,0.058703,0.031529,0.015528,0.048011
Negative_F1199,0.083197,0.088571,0.069709,0.051143,0.068448
Negative_F592,0.052755,0.050982,0.045244,0.039828,0.042656
Negative_F548,0.069468,0.073966,0.054413,0.052539,0.065614
Negative_F43,0.046002,0.063950,0.040373,0.033439,0.052252
Negative_F708,0.052443,0.051501,0.069664,0.061359,0.056366
Negative_F582,0.060215,0.080753,0.050340,0.044428,0.072395
Negative_F1241,0.055197,0.042164,0.038469,0.065319,0.049690
Negative_F415,0.072657,0.087636,0.077542,0.071424,0.055209
Negative_F1637,0.044721,0.058917,0.039459,0.030563,0.055090
Negative_F1613,0.060078,0.054222,0.067464,0.056409,0.065184
Negative_F965,0.076263,0.074043,0.070987,0.074398,0.071543
Negative_F1688,0.079580,0.113381,0.065759,0.064489,0.103660
Negative_F992,0.045190,0.069153,0.051779,0.047860,0.078091
Negative_F1692,0.060428,0.060120,0.059485,0.058688,0.063408
Negative_F1231,0.056672,0.070196,0.064360,0.053157,0.052824
Negative_F2362,0.066231,0.078018,0.080509,0.077457,0.084551
Negative_F427,0.058500,0.066710,0.072978,0.067408,0.072762
Negative_F1588,0.052098,0.090123,0.081647,0.057288,0.063764
Negative_F1373,0.058363,0.073213,0.046737,0.035063,0.066286
Negative_F1051,0.041608,0.056821,0.027413,0.026961,0.056990
Negative_F2103,0.049796,0.051266,0.045287,0.038299,0.052481
Negative_F1454,0.041485,0.061235,0.036516,0.021970,0.051665
Negative_F258,0.071160,0.072124,0.066139,0.081172,0.078124
Negative_F553,0.084773,0.073228,0.071173,0.065333,0.070264
Negative_F350,0.065390,0.080936,0.057197,0.068138,0.077684
Negative_F694,0.041587,0.073152,0.043278,0.026351,0.059386
Negative_F1403,0.059424,0.060404,0.043756,0.055706,0.055793
Negative_F2402,0.070931,0.072193,0.068737,0.056879,0.062847
Negative_F1093,0.059784,0.055882,0.059325,0.052045,0.056730
Negative_F2296,0.065825,0.065017,0.070406,0.052285,0.063207
Negative_F1624,0.075933,0.082818,0.067812,0.071680,0.074942
Negative_F468,0.063459,0.080211,0.058684,0.047809,0.058857
Negative_F212,0.072608,0.075273,0.062740,0.087950,0.073149
Negative_F1570,0.040366,0.053308,0.046359,0.051156,0.050914
Negative_F27,0.050442,0.045025,0.051187,0.065884,0.053528
Negative_F1805,0.072873,0.068566,0.091255,0.060374,0.099963
Negative_F653,0.064825,0.067496,0.062905,0.068348,0.069839
Negative_F637,0.048902,0.072028,0.033051,0.018840,0.062412
Negative_F1439,0.077576,0.070261,0.074485,0.067072,0.066491
Negative_F651,0.065985,0.071044,0.065741,0.067045,0.054879
Negative_F1307,0.068620,0.073609,0.057575,0.039314,0.074320
Negative_F1346,0.065110,0.078129,0.060161,0.040030,0.076500
Negative_F80,0.055074,0.051728,0.040801,0.033331,0.030909
Negative_F2389,0.086000,0.114788,0.097523,0.059950,0.078368
Negative_F2401,0.045372,0.046679,0.035116,0.035528,0.038890
Negative_F113,0.077329,0.074300,0.049874,0.062239,0.084562
Negative_F2376,0.072275,0.078667,0.081108,0.072783,0.082030
Negative_F2371,0.082393,0.065477,0.070824,0.114977,0.060388
Negative_F1595,0.076620,0.076239,0.086550,0.077051,0.069167
Negative_F216,0.063870,0.071303,0.067238,0.063179,0.065482
Negative_F1399,0.055528,0.077156,0.051581,0.049108,0.069054
Negative_F1972,0.082147,0.072363,0.076024,0.089118,0.071281
Negative_F792,0.073581,0.080772,0.056905,0.065923,0.075005
Negative_F312,0.056076,0.056643,0.033701,0.035199,0.060768
Negative_F231,0.053081,0.055393,0.052345,0.038337,0.066405
Negative_F1340,0.047091,0.054711,0.070346,0.074481,0.066681
Negative_F1237,0.078721,0.073563,0.067912,0.084705,0.083303
Negative_F2357,0.038525,0.037640,0.050229,0.043079,0.052343
Negative_F92,0.073089,0.080195,0.045588,0.066612,0.068448
Negative_F1486,0.073028,0.069186,0.065333,0.075962,0.073216
Negative_F1705,0.047399,0.048746,0.056681,0.056951,0.070519
Negative_F985,0.070748,0.066362,0.071221,0.071006,0.060636
Negative_F1987,0.072395,0.089123,0.073000,0.043293,0.050816
Negative_F1906,0.073112,0.075117,0.074677,0.074414,0.053543
Negative_F831,0.046064,0.042168,0.047373,0.035273,0.045778
Negative_F1473,0.064220,0.080147,0.086528,0.078149,0.083313
Negative_F2161,0.071714,0.105676,0.081962,0.052101,0.091834
Negative_F840,0.028052,0.031130,0.038218,0.039699,0.041025
Negative_F1015,0.032627,0.046032,0.028561,0.020169,0.047157
Negative_F1801,0.050991,0.075191,0.045641,0.039392,0.067567
Negative_F1448,0.070771,0.058702,0.072552,0.063905,0.049496
Negative_F1921,0.070096,0.072484,0.061665,0.071706,0.068787
Negative_F1248,0.118527,0.055192,0.107865,0.076884,0.085390
Negative_F266,0.099214,0.073550,0.093498,0.075769,0.085012
Negative_F737,0.068885,0.058838,0.029012,0.060761,0.055656
Negative_F57,0.079033,0.082360,0.073070,0.055049,0.067569
Negative_F1202,0.063013,0.065509,0.061024,0.046840,0.070131
Negative_F1110,0.082245,0.092218,0.033915,0.074075,0.081929
Negative_F572,0.053224,0.072192,0.048012,0.024870,0.066695
Negative_F1042,0.050437,0.033761,0.035637,0.049296,0.010559
Negative_F830,0.048883,0.066261,0.065455,0.056118,0.073341
Negative_F1032,0.065517,0.074711,0.074336,0.060456,0.079202
Negative_F1309,0.070712,0.086912,0.061159,0.054810,0.073489
Negative_F778,0.047169,0.042868,0.055765,0.043899,0.051441
Negative_F2125,0.086992,0.088942,0.089420,0.050112,0.071548
Negative_F1104,0.059984,0.070918,0.065820,0.062074,0.059768
Negative_F1796,0.039036,0.061405,0.036646,0.021825,0.041891
Negative_F1050,0.037110,0.049188,0.047530,0.044459,0.038314
Negative_F1020,0.105635,0.083799,0.088740,0.063622,0.096288
Negative_F2136,0.071716,0.157774,0.153392,0.073957,0.056348
Negative_F14,0.056858,0.086475,0.048531,0.051013,0.084405
Negative_F1763,0.072262,0.095111,0.062589,0.045848,0.095556
Negative_F904,0.077199,0.064277,0.095748,0.069746,0.087574
Negative_F1755,0.041172,0.069447,0.080876,0.070741,0.069316
Negative_F2363,0.084954,0.086205,0.053165,0.062248,0.073693
Negative_F764,0.052822,0.050267,0.057571,0.066733,0.053686
Negative_F256,0.078025,0.069507,0.058004,0.084087,0.070051
Negative_F1994,0.070908,0.047729,0.075164,0.087010,0.090722
Negative_F695,0.038294,0.057480,0.028517,0.037045,0.051901
Negative_F2192,0.088580,0.112209,0.083453,0.071015,0.073245
Negative_F226,0.082818,0.074589,0.065294,0.040329,0.082014
Negative_F477,0.063663,0.073333,0.066415,0.057081,0.063289
Negative_F2204,0.096983,0.091333,0.044125,0.093242,0.082604
Negative_F672,0.038486,0.064652,0.036022,0.020463,0.048991
Negative_F1535,0.079161,0.066277,0.073752,0.064470,0.073016
Negative_F1673,0.064682,0.092652,0.066163,0.044255,0.072638
Negative_F272,0.080112,0.071233,0.079183,0.081601,0.073290
Negative_F1672,0.053540,0.076546,0.052819,0.033158,0.069881
Negative_F2345,0.076954,0.058480,0.059479,0.066535,0.071669
Negative_F947,0.070749,0.085909,0.068903,0.037000,0.098246
Negative_F1019,0.058079,0.079907,0.050813,0.041389,0.066176
Negative_F526,0.090802,0.069090,0.075353,0.076851,0.079613
Negative_F1186,0.044485,0.042711,0.045045,0.034277,0.044230
Negative_F439,0.071406,0.071865,0.053212,0.073523,0.069219
Negative_F360,0.062535,0.073942,0.074480,0.061785,0.062426
Negative_F2021,0.063305,0.067702,0.061208,0.061122,0.071255
Negative_F2334,0.128174,0.109488,0.004005,0.133546,0.107856
Negative_F2158,0.054397,0.053133,0.070319,0.054815,0.066535
Negative_F1088,0.065019,0.076470,0.070057,0.056503,0.056357
Negative_F1080,0.061839,0.076459,0.064147,0.022366,0.064859
Negative_F1005,0.064498,0.092426,0.050131,0.028939,0.082604
Negative_F1159,0.075842,0.089324,0.062212,0.058053,0.082336
Negative_F790,0.080870,0.062243,0.079545,0.079599,0.065988
Negative_F2254,0.065613,0.086019,0.060037,0.064995,0.090525
Negative_F1091,0.073565,0.086088,0.066376,0.055726,0.058042
Negative_F432,0.081636,0.095878,0.059392,0.069320,0.097607
Negative_F1092,0.067063,0.058657,0.060228,0.049313,0.057062
Negative_F703,0.058156,0.080222,0.068408,0.058178,0.050931
Negative_F1149,0.066339,0.051453,0.067177,0.060784,0.071704
Negative_F2153,0.066007,0.069622,0.071767,0.072267,0.063809
Negative_F2395,0.083153,0.074987,0.086123,0.065532,0.083807
Negative_F1181,0.084719,0.126005,0.122229,0.052785,0.021444
Negative_F991,0.041006,0.063965,0.051669,0.042651,0.064481
Negative_F416,0.057138,0.070331,0.037837,0.024602,0.064943
Negative_F2397,0.062151,0.051837,0.056359,0.055372,0.071778
Negative_F1878,0.061188,0.072955,0.050159,0.053701,0.069827
Negative_F381,0.052750,0.060767,0.054794,0.068117,0.060190
Negative_F1332,0.069088,0.093261,0.083482,0.062606,0.040041
Negative_F1533,0.082421,0.070535,0.078956,0.057745,0.079067
Negative_F2370,0.082980,0.071683,0.072968,0.058754,0.065620
Negative_F782,0.068607,0.072284,0.051492,0.047055,0.066658
Negative_F1885,0.100338,0.063850,0.068726,0.066034,0.073400
Negative_F1013,0.046199,0.070468,0.043711,0.033703,0.059652
Negative_F1778,0.060459,0.061679,0.058982,0.056870,0.062426
Negative_F1261,0.068070,0.063324,0.064335,0.076359,0.073608
Negative_F1320,0.052254,0.078888,0.039958,0.025414,0.068905
Negative_F1521,0.077826,0.120917,0.063484,0.024500,0.100544
Negative_F2028,0.053639,0.063495,0.073625,0.069883,0.058444
Negative_F848,0.065678,0.051854,0.052666,0.056747,0.059467
Negative_F629,0.065527,0.077136,0.049027,0.046437,0.077358
Negative_F2181,0.050532,0.065355,0.039158,0.042662,0.067004
Negative_F1122,0.056908,0.042310,0.053543,0.053415,0.058687
Negative_F2096,0.080392,0.053907,0.078010,0.066763,0.064453
Negative_F341,0.062197,0.085612,0.058756,0.052251,0.080742
Negative_F2200,0.115004,0.053153,0.124570,0.079039,0.128087
Negative_F1068,0.086389,0.088087,0.059758,0.077816,0.065975
Negative_F2319,0.040440,0.060553,0.041952,0.028846,0.061354
Negative_F1477,0.061440,0.071681,0.071271,0.070970,0.056304
Negative_F875,0.076425,0.090826,0.070597,0.057624,0.045302
Negative_F1029,0.059465,0.050291,0.058361,0.071891,0.073464
Negative_F2120,0.089869,0.128910,0.060640,0.065201,0.121943
Negative_F1984,0.079641,0.085516,0.077362,0.072662,0.072596
Negative_F380,0.048103,0.054934,0.051381,0.053420,0.071051
Negative_F1335,0.082081,0.079916,0.079341,0.056501,0.056340
Negative_F693,0.027704,0.048734,0.027432,0.018618,0.038526
Negative_F641,0.047212,0.054764,0.049319,0.044876,0.053154
Negative_F1014,0.059480,0.070057,0.055926,0.040345,0.062199
Negative_F1728,0.053498,0.062554,0.046277,0.044948,0.062752
Negative_F1856,0.086045,0.078735,0.081923,0.058922,0.091253
Negative_F946,0.042500,0.058779,0.037184,0.027672,0.052878
Negative_F2187,0.053607,0.043443,0.043596,0.053958,0.036371
Negative_F2023,0.068995,0.086537,0.067563,0.074686,0.055878
Negative_F741,0.081705,0.099068,0.090232,0.063812,0.088550
Negative_F7,0.107587,0.115632,0.049481,0.115118,0.064232
Negative_F1163,0.073879,0.084899,0.081979,0.064567,0.081299
Negative_F2064,0.147054,0.084152,0.147680,0.060965,0.104440
Negative_F38,0.083760,0.081954,0.075833,0.077340,0.080069
Negative_F382,0.082290,0.084829,0.068158,0.067367,0.069729
Negative_F2434,0.057850,0.058710,0.065817,0.061020,0.057608
Negative_F1460,0.068639,0.073699,0.063378,0.070661,0.078682
Negative_F132,0.069108,0.089787,0.058758,0.057378,0.085109
Negative_F2143,0.033279,0.040134,0.041110,0.033229,0.035332
Negative_F2223,0.056077,0.068459,0.056258,0.071679,0.067209
Negative_F2002,0.062204,0.075298,0.080757,0.099895,0.090579
Negative_F1480,0.060496,0.066837,0.066130,0.059696,0.071331
Negative_F1150,0.075617,0.069923,0.056038,0.075538,0.080722
Negative_F1939,0.080532,0.075807,0.081880,0.060001,0.090715
Negative_F387,0.060393,0.085612,0.076947,0.060347,0.040273
Negative_F319,0.084090,0.097114,0.067072,0.070857,0.071605
Negative_F457,0.056633,0.071661,0.053952,0.047633,0.058415
Negative_F839,0.046551,0.047059,0.058458,0.046566,0.051870
Negative_F2280,0.062922,0.079059,0.059984,0.052010,0.071020
Negative_F383,0.055733,0.061140,0.054507,0.060145,0.059646
Negative_F1484,0.071254,0.073818,0.081601,0.070879,0.074756
Negative_F2062,0.053986,0.068214,0.067211,0.052292,0.045553
Negative_F130,0.061259,0.082178,0.067263,0.038303,0.064501
Negative_F1668,0.067967,0.069930,0.056634,0.031318,0.076776
Negative_F2325,0.104182,0.096602,0.067193,0.096585,0.110809
Negative_F146,0.080684,0.087514,0.073185,0.065013,0.086154
Negative_F1924,0.063923,0.080453,0.051425,0.048240,0.071921
Negative_F1812,0.075250,0.077530,0.057753,0.044073,0.093646
Negative_F1621,0.081869,0.091499,0.069465,0.049746,0.081396
Negative_F836,0.050978,0.051704,0.052545,0.045992,0.060469
Negative_F1854,0.071876,0.076783,0.078010,0.057958,0.071544
Negative_F1133,0.050202,0.054364,0.051194,0.054460,0.059974
Negative_F1200,0.085750,0.090122,0.071808,0.046315,0.071715
Negative_F2343,0.067371,0.078297,0.072970,0.065998,0.078284
Negative_F33,0.093087,0.077364,0.079353,0.072398,0.081551
Negative_F1838,0.059040,0.072509,0.064865,0.064364,0.077748
Negative_F546,0.057028,0.071614,0.055444,0.054335,0.077852
Negative_F793,0.071807,0.074068,0.054037,0.060190,0.068026
Negative_F2163,0.097521,0.083695,0.085483,0.087670,0.079759
Negative_F1059,0.064224,0.067447,0.048013,0.053536,0.055087
Negative_F1063,0.060507,0.055614,0.062161,0.063627,0.064641
Negative_F1797,0.043315,0.061764,0.039396,0.029231,0.037570
Negative_F2155,0.054062,0.056142,0.039569,0.027608,0.046271
Negative_F159,0.078107,0.079922,0.052703,0.066564,0.073951
Negative_F44,0.044506,0.062420,0.039367,0.032539,0.050537
Negative_F1008,0.053651,0.071279,0.042712,0.037160,0.070318
Negative_F632,0.049720,0.068550,0.051028,0.025779,0.077547
Negative_F829,0.061229,0.069732,0.058966,0.064858,0.061269
Negative_F1463,0.050983,0.065353,0.053489,0.059301,0.070602
Negative_F1435,0.051773,0.057248,0.053018,0.044182,0.054318
Negative_F2010,0.085522,0.039180,0.096117,0.045230,0.097692
Negative_F1139,0.092842,0.109722,0.092171,0.054039,0.088286
Negative_F1393,0.044801,0.042046,0.054049,0.054258,0.058478
Negative_F208,0.048061,0.065792,0.046390,0.031320,0.057790
Negative_F1447,0.027260,0.032316,0.021928,0.027262,0.027498
Negative_F36,0.086662,0.082824,0.078523,0.063819,0.090905
Negative_F1441,0.062730,0.071266,0.054346,0.054421,0.067068
Negative_F1073,0.051115,0.066268,0.062426,0.057666,0.055126
Negative_F1121,0.071358,0.080431,0.087218,0.061976,0.073758
Negative_F715,0.050630,0.055757,0.036039,0.047467,0.043806
Negative_F2111,0.059847,0.085158,0.055506,0.028735,0.056523
Negative_F1831,0.058329,0.070931,0.063322,0.050418,0.078516
Negative_F376,0.081831,0.105558,0.074482,0.055125,0.087017
Negative_F1874,0.062387,0.076626,0.055097,0.065597,0.078131
Negative_F219,0.059005,0.053436,0.050843,0.057427,0.057258
Negative_F77,0.053328,0.077373,0.040211,0.014741,0.063275
Negative_F9,0.091581,0.094273,0.077141,0.058319,0.075417
Negative_F303,0.063979,0.082116,0.076226,0.076482,0.090409
Negative_F1923,0.059654,0.072684,0.066213,0.061740,0.059465
Negative_F2360,0.054063,0.084277,0.071165,0.067206,0.078047
Negative_F1491,0.076494,0.084493,0.076850,0.067526,0.088450
Negative_F1089,0.074634,0.072352,0.061149,0.077401,0.072590
Negative_F2259,0.050724,0.053080,0.062442,0.071089,0.057585
Negative_F2268,0.056792,0.063391,0.069258,0.056122,0.068598
Negative_F95,0.088947,0.092032,0.055794,0.066246,0.092003
Negative_F619,0.091925,0.102653,0.104405,0.056324,0.036747
Negative_F1730,0.099171,0.061029,0.065211,0.078532,0.086964
Negative_F1860,0.065961,0.062824,0.074883,0.091610,0.068253
Negative_F2166,0.046651,0.055917,0.063399,0.052948,0.053468
Negative_F2386,0.077626,0.087361,0.071715,0.071844,0.080952
Negative_F1937,0.057046,0.067698,0.068765,0.065256,0.070843
Negative_F800,0.064680,0.067885,0.050545,0.065242,0.077234
Negative_F1406,0.061828,0.083141,0.055531,0.055075,0.088428
Negative_F299,0.078401,0.091376,0.084866,0.070840,0.089141
Negative_F1546,0.056547,0.061680,0.061962,0.065848,0.069487
Negative_F1841,0.064397,0.077591,0.060018,0.055511,0.069313
Negative_F2250,0.055226,0.070660,0.037309,0.040300,0.075292
Negative_F537,0.067909,0.078024,0.076507,0.066620,0.096076
Negative_F2069,0.048655,0.080651,0.051379,0.030876,0.069368
Negative_F880,0.074922,0.079229,0.053812,0.063396,0.075937
Negative_F69,0.034272,0.052438,0.029786,0.019696,0.038022
Negative_F2373,0.064346,0.067791,0.064538,0.068410,0.067584
Negative_F302,0.066282,0.085162,0.069276,0.068265,0.091307
Negative_F2322,0.047806,0.051147,0.057264,0.053022,0.058483
Negative_F411,0.068658,0.088371,0.071619,0.036461,0.054335
Negative_F1993,0.083400,0.046579,0.070615,0.055379,0.071841
Negative_F835,0.048331,0.040605,0.047817,0.046473,0.058874
Negative_F280,0.056260,0.088376,0.043533,0.044675,0.089956
Negative_F1334,0.073036,0.068167,0.063989,0.048215,0.058780
Negative_F1354,0.076107,0.072318,0.066017,0.064058,0.088906
Negative_F1478,0.065960,0.070116,0.070426,0.068625,0.062260
Negative_F1541,0.077720,0.079735,0.083882,0.060347,0.066838
Negative_F961,0.049763,0.062162,0.055868,0.053634,0.076705
Negative_F1240,0.054032,0.050190,0.067927,0.060074,0.053265
Negative_F2221,0.058216,0.067057,0.065840,0.072639,0.064509
Negative_F133,0.059425,0.069878,0.051823,0.047262,0.067708
Negative_F1877,0.067001,0.066725,0.073179,0.061582,0.073701
Negative_F1235,0.075029,0.075134,0.061277,0.083491,0.078631
Negative_F614,0.084570,0.110495,0.067769,0.051752,0.081443
Negative_F950,0.062923,0.081551,0.063799,0.043994,0.065093
Negative_F298,0.068599,0.081479,0.065291,0.065922,0.066517
Negative_F425,0.064495,0.084375,0.061979,0.039902,0.064528
Negative_F927,0.067067,0.070182,0.077764,0.096344,0.070927
Negative_F1319,0.078730,0.109556,0.066762,0.066147,0.073581
Negative_F1238,0.061632,0.059702,0.048414,0.062940,0.042506
Negative_F1843,0.064385,0.066844,0.040239,0.065771,0.059860
Negative_F1532,0.078885,0.083750,0.086619,0.060759,0.072353
Negative_F2269,0.065731,0.098468,0.060418,0.030968,0.070599
Negative_F2313,0.078237,0.091716,0.055188,0.063895,0.083825
Negative_F1345,0.073648,0.073369,0.056161,0.046420,0.065136
Negative_F1990,0.047406,0.049205,0.051356,0.039253,0.043116
Negative_F2267,0.074569,0.076165,0.043976,0.068823,0.068504
Negative_F1336,0.077231,0.098102,0.086203,0.042281,0.053748
Negative_F1273,0.083463,0.074713,0.077735,0.061586,0.076465
Negative_F300,0.082141,0.087149,0.073011,0.064206,0.087168
Negative_F1895,0.090765,0.075289,0.080924,0.080943,0.074911
Negative_F1352,0.056492,0.055394,0.055606,0.064424,0.061418
Negative_F2284,0.069488,0.054352,0.069705,0.062542,0.076374
Negative_F2088,0.074355,0.094844,0.083207,0.066134,0.079095
Negative_F983,0.022076,0.040142,0.027954,0.018164,0.035124
Negative_F2335,0.119495,0.064900,0.091830,0.086430,0.080781
Negative_F430,0.081860,0.072162,0.072236,0.055087,0.083326
Negative_F378,0.059711,0.082727,0.038852,0.051365,0.090756
Negative_F2348,0.104851,0.126512,0.077130,0.043505,0.115311
Negative_F687,0.052725,0.077873,0.058652,0.041659,0.050504
Negative_F920,0.064176,0.075841,0.084114,0.082272,0.070144
Negative_F1098,0.068299,0.066166,0.049416,0.061898,0.053959
Negative_F1242,0.057790,0.062687,0.057874,0.047827,0.058697
Negative_F460,0.064356,0.058393,0.059099,0.044001,0.077937
Negative_F1561,0.055508,0.067807,0.066552,0.051570,0.055314
Negative_F484,0.048078,0.062649,0.051013,0.058431,0.056730
Negative_F627,0.058104,0.071799,0.070432,0.056392,0.074318
Negative_F71,0.067309,0.084978,0.054886,0.065207,0.090899
