ID,Length,NetCharge,pI,K_frac,R_frac,H_frac,D_frac,E_frac,GRAVY,HydrophobicFrac,AromaticFrac,BomanIndex
Negative_F769,30.000000,-2.551374,4.353037,0.000000,0.000000,0.033333,0.033333,0.033333,-0.163333,0.133333,0.066667,0.741333
Negative_F841,18.000000,3.410332,9.007539,0.000000,0.222222,0.000000,0.000000,0.000000,0.744444,0.222222,0.000000,1.586667
Negative_F2405,28.000000,-3.374376,4.636152,0.000000,0.035714,0.071429,0.107143,0.035714,-0.714286,0.392857,0.178571,1.618929
Negative_F1514,121.000000,-3.655586,5.385063,0.016529,0.041322,0.024793,0.057851,0.024793,-0.240496,0.347107,0.115702,1.360579
Negative_F357,18.000000,4.410307,9.302804,0.000000,0.277778,0.000000,0.000000,0.000000,0.350000,0.222222,0.055556,2.819444
Negative_F12,13.000000,-0.445991,6.069006,0.153846,0.000000,0.000000,0.076923,0.076923,0.669231,0.538462,0.153846,0.126154
Negative_F2418,40.000000,4.546442,10.565030,0.125000,0.050000,0.000000,0.025000,0.025000,-0.062500,0.475000,0.025000,1.289500
Negative_F2420,62.000000,2.626041,10.834573,0.000000,0.064516,0.032258,0.016129,0.000000,-0.825806,0.306452,0.129032,1.993387
Negative_F2421,40.000000,3.483639,8.888272,0.100000,0.075000,0.025000,0.075000,0.000000,-0.082500,0.375000,0.075000,1.606750
Negative_F2425,18.000000,5.522877,11.172323,0.222222,0.111111,0.000000,0.000000,0.000000,-0.244444,0.388889,0.055556,2.052222
Negative_F2429,48.000000,3.388401,8.741865,0.041667,0.062500,0.020833,0.020833,0.000000,0.104167,0.333333,0.104167,1.102083
Negative_F2433,70.000000,3.510780,9.997967,0.085714,0.014286,0.000000,0.014286,0.028571,0.562857,0.500000,0.057143,-0.173714
Negative_F2447,20.000000,0.628200,8.764171,0.050000,0.000000,0.100000,0.000000,0.000000,1.180000,0.550000,0.100000,-0.953500
Negative_F1485,107.000000,10.823374,9.114041,0.140187,0.046729,0.000000,0.056075,0.018692,-0.648598,0.214953,0.046729,1.874673
Negative_F172,18.000000,6.451772,10.334878,0.055556,0.333333,0.000000,0.000000,0.000000,-0.833333,0.333333,0.277778,4.275556
Negative_F175,17.000000,5.451797,9.930984,0.058824,0.294118,0.000000,0.000000,0.000000,-0.517647,0.352941,0.235294,3.535294
Negative_F325,13.000000,0.554947,8.750052,0.076923,0.000000,0.000000,0.000000,0.000000,1.676923,0.692308,0.153846,-1.553846
Negative_F503,21.000000,-0.369294,6.917726,0.000000,0.000000,0.095238,0.000000,0.000000,1.623810,0.571429,0.047619,-1.772857
Negative_F948,17.000000,1.248192,9.992293,0.058824,0.058824,0.000000,0.000000,0.000000,0.882353,0.588235,0.235294,-0.215294
Negative_F2299,15.000000,1.552442,10.002737,0.133333,0.000000,0.000000,0.000000,0.000000,1.266667,0.533333,0.066667,-1.512667
Negative_F2416,24.000000,4.495918,9.904294,0.208333,0.000000,0.000000,0.000000,0.000000,1.054167,0.541667,0.041667,-0.842917
Negative_F1605,17.000000,0.554947,8.750052,0.058824,0.000000,0.000000,0.000000,0.000000,1.547059,0.588235,0.117647,-2.026471
Negative_F2142,14.000000,5.544875,11.219707,0.285714,0.142857,0.000000,0.000000,0.000000,-0.421429,0.500000,0.214286,2.138571
Negative_F2186,22.000000,0.602527,8.541175,0.136364,0.000000,0.000000,0.000000,0.090909,0.059091,0.545455,0.045455,0.620000
Negative_F1925,14.000000,-0.247751,7.136670,0.071429,0.000000,0.285714,0.071429,0.000000,-0.185714,0.428571,0.000000,0.862143
Negative_F1926,11.000000,0.660331,8.593910,0.272727,0.000000,0.000000,0.090909,0.090909,-0.700000,0.363636,0.090909,2.293636
Negative_F75,45.000000,2.428811,8.513260,0.088889,0.088889,0.044444,0.044444,0.066667,-0.677778,0.244444,0.088889,2.629556
Negative_F358,20.000000,-1.359494,6.268227,0.100000,0.000000,0.150000,0.050000,0.100000,-1.900000,0.150000,0.050000,3.411000
Negative_F506,25.000000,3.498424,9.701283,0.160000,0.000000,0.000000,0.000000,0.000000,0.736000,0.480000,0.120000,-0.267200
Negative_F556,46.000000,5.382005,9.064464,0.108696,0.065217,0.021739,0.021739,0.021739,-0.282609,0.260870,0.065217,1.647609
Negative_F578,34.000000,1.438554,8.326946,0.058824,0.058824,0.029412,0.029412,0.029412,-0.873529,0.176471,0.088235,2.140882
Negative_F628,36.000000,4.434481,9.125903,0.083333,0.055556,0.027778,0.000000,0.000000,-0.944444,0.166667,0.083333,2.056944
Negative_F701,45.000000,1.393991,8.211677,0.044444,0.111111,0.022222,0.066667,0.044444,-0.702222,0.200000,0.088889,2.857333
Negative_F718,45.000000,2.391907,8.512357,0.066667,0.133333,0.022222,0.088889,0.044444,-0.951111,0.177778,0.088889,3.521556
Negative_F723,47.000000,6.379525,9.202620,0.148936,0.042553,0.021277,0.021277,0.021277,-0.363830,0.234043,0.085106,1.621064
Negative_F964,42.000000,3.398950,8.902778,0.047619,0.071429,0.000000,0.000000,0.023810,-0.011905,0.309524,0.119048,1.113571
Negative_F1095,39.000000,4.588029,11.567578,0.076923,0.102564,0.025641,0.025641,0.025641,-0.300000,0.435897,0.025641,1.861026
Negative_F1100,24.000000,2.844150,9.985137,0.125000,0.166667,0.333333,0.041667,0.125000,-2.908333,0.083333,0.083333,6.074167
Negative_F1187,14.000000,0.592669,8.755016,0.071429,0.071429,0.071429,0.000000,0.071429,0.592857,0.500000,0.071429,0.290714
Negative_F1277,11.000000,-1.454481,5.076200,0.000000,0.000000,0.090909,0.090909,0.000000,0.109091,0.272727,0.000000,1.021818
Negative_F1375,20.000000,-3.331706,4.050028,0.000000,0.000000,0.000000,0.100000,0.050000,-0.095000,0.350000,0.000000,0.138500
Negative_F1424,51.000000,4.536413,8.924117,0.098039,0.078431,0.098039,0.000000,0.078431,-0.611765,0.215686,0.078431,2.400000
Negative_F1436,63.000000,-0.462579,6.920397,0.015873,0.190476,0.031746,0.047619,0.158730,-2.428571,0.079365,0.031746,5.596667
Negative_F1606,41.000000,2.425559,8.595908,0.170732,0.024390,0.024390,0.073171,0.048780,-0.660976,0.243902,0.121951,2.051463
Negative_F1761,47.000000,1.427199,8.202264,0.106383,0.085106,0.042553,0.085106,0.063830,-1.063830,0.148936,0.063830,3.253830
Negative_F1945,23.000000,-2.259233,6.157902,0.043478,0.000000,0.217391,0.043478,0.086957,-0.595652,0.347826,0.130435,1.580435
Negative_F2050,17.000000,0.554947,8.750052,0.058824,0.000000,0.000000,0.000000,0.000000,1.688235,0.588235,0.058824,-2.140588
Negative_F2054,18.000000,2.234304,9.523608,0.222222,0.000000,0.000000,0.000000,0.055556,-0.716667,0.444444,0.277778,0.787222
Negative_F2273,38.000000,8.454252,11.619153,0.052632,0.184211,0.000000,0.000000,0.000000,0.092105,0.368421,0.026316,2.286842
Negative_F752,29.000000,-0.590977,5.961751,0.000000,0.034483,0.000000,0.000000,0.034483,0.341379,0.241379,0.068966,0.505517
Negative_F777,30.000000,-0.593458,5.961126,0.033333,0.000000,0.000000,0.000000,0.033333,0.816667,0.366667,0.066667,-0.351000
Negative_F896,46.000000,5.396445,9.302933,0.086957,0.065217,0.000000,0.000000,0.021739,-0.550000,0.195652,0.043478,2.198043
Negative_F901,46.000000,6.394360,9.455852,0.108696,0.086957,0.000000,0.021739,0.021739,-0.641304,0.217391,0.065217,2.485000
Negative_F1252,30.000000,-1.595781,4.870386,0.100000,0.000000,0.000000,0.033333,0.100000,-0.390000,0.200000,0.100000,1.228667
Negative_F1388,31.000000,0.405727,7.769515,0.064516,0.032258,0.000000,0.032258,0.032258,0.651613,0.322581,0.064516,0.406774
Negative_F1389,25.000000,2.396520,8.638199,0.160000,0.000000,0.000000,0.000000,0.040000,-0.060000,0.240000,0.200000,0.712400
Negative_F1390,29.000000,-1.588025,4.370146,0.000000,0.034483,0.000000,0.034483,0.034483,0.006897,0.206897,0.103448,1.093448
Negative_F1604,17.000000,0.554947,8.750052,0.058824,0.000000,0.000000,0.000000,0.000000,1.323529,0.529412,0.117647,-1.125882
Negative_F1957,29.000000,-0.588472,5.962319,0.000000,0.034483,0.000000,0.000000,0.034483,0.317241,0.206897,0.034483,0.293448
Negative_F1959,31.000000,-1.593826,4.780580,0.032258,0.032258,0.000000,0.064516,0.032258,0.177419,0.290323,0.064516,0.855806
Negative_F485,20.000000,2.500929,9.390159,0.150000,0.000000,0.000000,0.000000,0.000000,1.600000,0.650000,0.150000,-1.566000
Negative_F609,25.000000,4.579467,10.295295,0.200000,0.040000,0.040000,0.040000,0.000000,-0.520000,0.440000,0.160000,1.136800
Negative_F612,21.000000,1.662321,10.002995,0.095238,0.000000,0.142857,0.000000,0.000000,0.780952,0.523810,0.142857,-1.298571
Negative_F1010,13.000000,0.554947,8.750052,0.076923,0.000000,0.000000,0.000000,0.000000,1.553846,0.615385,0.230769,-1.265385
Negative_F1178,33.000000,7.408822,10.602744,0.000000,0.272727,0.000000,0.000000,0.030303,-0.642424,0.212121,0.121212,4.135758
Negative_F1180,30.000000,2.454286,8.678299,0.000000,0.133333,0.000000,0.000000,0.033333,0.443333,0.466667,0.233333,0.886333
Negative_F1203,33.000000,2.197126,9.384485,0.090909,0.030303,0.000000,0.030303,0.000000,0.512121,0.454545,0.030303,0.763030
Negative_F1586,13.000000,0.554947,8.750052,0.076923,0.000000,0.000000,0.000000,0.000000,1.423077,0.615385,0.153846,-1.634615
Negative_F2229,13.000000,-0.369294,6.917726,0.000000,0.000000,0.153846,0.000000,0.000000,1.315385,0.615385,0.153846,-1.491538
Negative_F2237,13.000000,0.554947,8.750052,0.076923,0.000000,0.000000,0.000000,0.000000,1.969231,0.692308,0.076923,-2.333846
Negative_F232,32.000000,7.437982,9.860391,0.062500,0.218750,0.031250,0.000000,0.031250,-0.468750,0.250000,0.093750,2.836875
Negative_F472,33.000000,3.532991,9.595426,0.151515,0.000000,0.030303,0.030303,0.000000,0.454545,0.393939,0.030303,-0.005455
Negative_F675,13.000000,0.554947,8.750052,0.076923,0.000000,0.000000,0.000000,0.000000,1.323077,0.538462,0.076923,-1.183846
Negative_F1505,38.000000,1.480866,8.346222,0.052632,0.052632,0.052632,0.000000,0.052632,-0.126316,0.263158,0.105263,1.205526
Negative_F1553,31.000000,7.432229,11.198497,0.000000,0.258065,0.000000,0.000000,0.000000,-0.380645,0.258065,0.032258,3.884516
Negative_F1701,13.000000,3.547430,10.477740,0.307692,0.000000,0.000000,0.000000,0.000000,0.161538,0.384615,0.000000,0.739231
Negative_F2084,50.000000,3.308383,9.869868,0.100000,0.060000,0.020000,0.000000,0.080000,-0.304000,0.500000,0.160000,1.063800
Negative_F2151,15.000000,-2.445317,4.050028,0.000000,0.000000,0.000000,0.000000,0.133333,0.173333,0.533333,0.133333,0.318667
Negative_F2278,22.000000,5.552316,11.999968,0.045455,0.227273,0.000000,0.000000,0.000000,-0.231818,0.500000,0.136364,2.168182
Negative_F2283,49.000000,6.487174,9.866322,0.204082,0.020408,0.000000,0.020408,0.061224,-0.077551,0.326531,0.061224,0.627959
Negative_F1,33.000000,2.545782,9.701025,0.181818,0.000000,0.000000,0.000000,0.090909,0.196970,0.545455,0.030303,0.231818
Negative_F16,16.000000,0.552888,8.590944,0.125000,0.000000,0.000000,0.062500,0.000000,1.243750,0.562500,0.062500,-1.063750
Negative_F49,20.000000,1.552442,10.002737,0.100000,0.000000,0.000000,0.000000,0.000000,1.505000,0.550000,0.000000,-1.755500
Negative_F88,32.000000,3.492246,9.448889,0.218750,0.000000,0.000000,0.093750,0.000000,0.259375,0.406250,0.031250,0.399688
Negative_F117,18.000000,4.410307,9.302804,0.000000,0.277778,0.000000,0.000000,0.000000,0.355556,0.222222,0.055556,2.917222
Negative_F118,13.000000,3.523050,11.999968,0.000000,0.307692,0.000000,0.000000,0.000000,-0.792308,0.538462,0.384615,2.905385
Negative_F151,33.000000,8.413627,11.404344,0.000000,0.303030,0.030303,0.000000,0.030303,-0.112121,0.333333,0.030303,3.333939
Negative_F177,34.000000,7.406316,10.196078,0.000000,0.264706,0.000000,0.000000,0.029412,-0.638235,0.264706,0.117647,3.875588
Negative_F182,32.000000,7.369509,9.986749,0.000000,0.281250,0.000000,0.000000,0.031250,-0.493750,0.281250,0.125000,3.594375
Negative_F184,29.000000,4.408897,9.254388,0.000000,0.206897,0.000000,0.000000,0.034483,-0.168966,0.241379,0.068966,2.907241
Negative_F237,31.000000,1.635299,9.529604,0.129032,0.000000,0.032258,0.064516,0.000000,0.448387,0.548387,0.032258,0.048065
Negative_F311,24.000000,4.544925,10.602487,0.208333,0.000000,0.000000,0.000000,0.000000,0.512500,0.541667,0.125000,-0.522083
Negative_F313,50.000000,6.434827,9.549524,0.040000,0.120000,0.020000,0.020000,0.000000,0.034000,0.340000,0.080000,1.285000
Negative_F315,62.000000,8.431850,9.892625,0.032258,0.112903,0.016129,0.000000,0.000000,-0.377419,0.258065,0.096774,1.545806
Negative_F321,45.000000,9.402740,10.846113,0.066667,0.155556,0.000000,0.000000,0.000000,-0.493333,0.222222,0.022222,2.658000
Negative_F323,36.000000,3.492743,8.962346,0.027778,0.111111,0.027778,0.027778,0.000000,-0.152778,0.361111,0.166667,2.144722
Negative_F348,47.000000,-2.721643,5.073812,0.148936,0.000000,0.021277,0.127660,0.063830,-0.110638,0.382979,0.000000,1.114468
Negative_F352,37.000000,4.545525,9.128417,0.108108,0.081081,0.027027,0.000000,0.054054,-0.832432,0.189189,0.081081,2.941622
Negative_F366,24.000000,3.495918,9.595362,0.166667,0.000000,0.000000,0.000000,0.000000,0.825000,0.500000,0.125000,-0.498750
Negative_F405,15.000000,0.628727,8.493597,0.133333,0.000000,0.200000,0.000000,0.066667,-0.213333,0.533333,0.066667,0.898667
Negative_F454,17.000000,1.505915,8.956480,0.058824,0.058824,0.000000,0.000000,0.000000,1.205882,0.470588,0.058824,-0.478824
Negative_F521,37.000000,4.494280,9.787284,0.162162,0.027027,0.000000,0.054054,0.000000,0.391892,0.432432,0.054054,0.434324
Negative_F561,11.000000,-0.442547,5.525000,0.000000,0.000000,0.000000,0.000000,0.000000,0.727273,0.454545,0.000000,-0.874545
Negative_F635,33.000000,3.533665,9.595426,0.151515,0.000000,0.030303,0.000000,0.030303,0.221212,0.393939,0.060606,0.364848
Negative_F644,39.000000,6.648804,10.461301,0.179487,0.051282,0.076923,0.025641,0.025641,-0.625641,0.384615,0.051282,2.005897
Negative_F666,24.000000,3.498424,9.701283,0.166667,0.000000,0.000000,0.000000,0.000000,0.945833,0.541667,0.125000,-0.653333
Negative_F670,13.000000,0.554947,8.750052,0.076923,0.000000,0.000000,0.000000,0.000000,2.023077,0.692308,0.076923,-2.333846
Negative_F682,24.000000,2.500929,9.390159,0.125000,0.000000,0.000000,0.000000,0.000000,1.304167,0.541667,0.041667,-1.291667
Negative_F689,37.000000,3.513567,9.466683,0.243243,0.000000,0.000000,0.081081,0.054054,-0.200000,0.459459,0.054054,0.952973
Negative_F725,37.000000,6.150474,10.749539,0.027027,0.189189,0.000000,0.027027,0.000000,-1.221622,0.189189,0.135135,2.917297
Negative_F729,52.000000,7.343691,9.351091,0.115385,0.115385,0.000000,0.057692,0.019231,-0.809615,0.173077,0.076923,2.953269
Negative_F730,24.000000,1.549886,9.696641,0.000000,0.083333,0.000000,0.000000,0.000000,-0.216667,0.500000,0.208333,0.977917
Negative_F743,20.000000,4.237906,10.121810,0.300000,0.050000,0.000000,0.000000,0.100000,-1.360000,0.400000,0.100000,2.691500
Negative_F859,16.000000,2.589043,11.166263,0.125000,0.062500,0.062500,0.000000,0.000000,-1.218750,0.312500,0.125000,1.706875
Negative_F868,44.000000,2.376395,8.474708,0.113636,0.000000,0.022727,0.045455,0.000000,-0.340909,0.227273,0.113636,0.714091
Negative_F874,17.000000,3.498399,9.699478,0.176471,0.058824,0.000000,0.000000,0.000000,-0.876471,0.235294,0.117647,1.422353
Negative_F878,37.000000,4.530486,9.788896,0.162162,0.000000,0.027027,0.027027,0.000000,0.089189,0.351351,0.027027,0.566216
Negative_F887,32.000000,6.447979,10.436803,0.000000,0.250000,0.031250,0.000000,0.031250,-0.759375,0.156250,0.031250,4.315625
Negative_F903,34.000000,6.557277,11.999968,0.000000,0.205882,0.000000,0.000000,0.000000,-0.302941,0.352941,0.176471,1.648235
Negative_F916,14.000000,0.556043,8.747860,0.071429,0.071429,0.000000,0.000000,0.071429,-0.800000,0.285714,0.214286,1.857857
Negative_F919,12.000000,0.557428,9.750021,0.000000,0.083333,0.000000,0.000000,0.000000,0.625000,0.333333,0.000000,0.505833
Negative_F922,21.000000,0.503881,8.045413,0.095238,0.000000,0.000000,0.047619,0.000000,1.014286,0.380952,0.000000,-0.871429
Negative_F977,33.000000,1.197151,8.840114,0.090909,0.000000,0.000000,0.030303,0.000000,0.681818,0.424242,0.000000,0.118485
Negative_F1040,53.000000,5.519743,9.696577,0.018868,0.094340,0.000000,0.000000,0.000000,-1.147170,0.320755,0.301887,1.024906
Negative_F1070,25.000000,6.583956,11.999968,0.120000,0.160000,0.040000,0.000000,0.000000,-0.348000,0.440000,0.120000,2.220400
Negative_F1078,13.000000,0.554947,8.750052,0.076923,0.000000,0.000000,0.000000,0.000000,1.700000,0.692308,0.153846,-1.836154
Negative_F1087,47.000000,3.445296,8.982461,0.000000,0.127660,0.021277,0.042553,0.000000,0.051064,0.340426,0.127660,1.420213
Negative_F1115,44.000000,4.449420,9.436318,0.090909,0.090909,0.000000,0.068182,0.000000,-0.709091,0.250000,0.045455,2.490000
Negative_F1116,45.000000,6.394245,9.418009,0.133333,0.088889,0.000000,0.022222,0.044444,-0.833333,0.222222,0.044444,2.592667
Negative_F1164,26.000000,7.542319,11.603681,0.153846,0.153846,0.000000,0.000000,0.000000,-0.107692,0.538462,0.153846,1.756154
Negative_F1183,18.000000,3.410332,9.007539,0.000000,0.222222,0.000000,0.000000,0.000000,1.177778,0.333333,0.000000,1.242222
Negative_F1207,67.000000,14.245410,11.999968,0.044776,0.179104,0.000000,0.000000,0.000000,-1.470149,0.044776,0.000000,3.830746
Negative_F1224,20.000000,1.552442,10.002737,0.100000,0.000000,0.000000,0.000000,0.000000,1.300000,0.500000,0.000000,-1.591500
Negative_F1294,24.000000,-0.460203,6.737262,0.083333,0.000000,0.041667,0.000000,0.083333,0.808333,0.583333,0.083333,-0.386250
Negative_F1296,33.000000,2.535497,9.307897,0.121212,0.000000,0.030303,0.030303,0.000000,0.412121,0.454545,0.030303,0.305455
Negative_F1300,33.000000,2.498870,9.307704,0.121212,0.000000,0.000000,0.030303,0.000000,0.448485,0.424242,0.000000,0.472727
Negative_F1302,33.000000,1.232393,8.802271,0.121212,0.000000,0.030303,0.030303,0.030303,0.115152,0.393939,0.060606,0.950909
Negative_F1303,33.000000,1.195092,8.801369,0.121212,0.000000,0.000000,0.060606,0.000000,0.387879,0.393939,0.000000,0.605758
Negative_F1313,21.000000,1.503435,8.903745,0.095238,0.000000,0.000000,0.000000,0.000000,1.223810,0.428571,0.000000,-1.286190
Negative_F1314,16.000000,0.469554,8.017562,0.062500,0.062500,0.000000,0.062500,0.000000,-0.462500,0.250000,0.062500,2.200625
Negative_F1357,33.000000,3.190502,9.511359,0.181818,0.030303,0.000000,0.090909,0.000000,0.260606,0.393939,0.000000,1.033333
Negative_F1359,17.000000,0.591574,8.757208,0.058824,0.000000,0.058824,0.000000,0.000000,1.158824,0.588235,0.235294,-1.309412
Negative_F1363,13.000000,2.549936,10.302064,0.230769,0.000000,0.000000,0.000000,0.000000,1.030769,0.615385,0.076923,-1.237692
Negative_F1420,24.000000,3.498424,9.701283,0.166667,0.000000,0.000000,0.000000,0.000000,1.075000,0.500000,0.125000,-0.696667
Negative_F1455,34.000000,2.499966,9.306801,0.117647,0.029412,0.000000,0.029412,0.029412,0.270588,0.411765,0.029412,0.789706
Negative_F1464,128.000000,15.569121,9.796438,0.140625,0.031250,0.054688,0.031250,0.015625,-0.845313,0.281250,0.062500,2.165859
Negative_F1487,127.000000,3.547760,8.636394,0.086614,0.015748,0.047244,0.039370,0.031496,-0.633071,0.291339,0.070866,1.703780
Negative_F1495,24.000000,3.498424,9.701283,0.166667,0.000000,0.000000,0.000000,0.000000,0.816667,0.458333,0.083333,-0.594583
Negative_F1498,28.000000,2.497485,9.243171,0.178571,0.000000,0.000000,0.035714,0.035714,0.400000,0.428571,0.000000,0.306429
Negative_F1516,25.000000,6.664676,11.999968,0.040000,0.240000,0.120000,0.000000,0.000000,-0.128000,0.440000,0.080000,2.624400
Negative_F1529,65.000000,5.550873,9.461847,0.076923,0.092308,0.046154,0.030769,0.046154,-0.209231,0.430769,0.200000,1.402154
Negative_F1531,99.000000,1.604135,8.683392,0.060606,0.060606,0.030303,0.040404,0.060606,-0.253535,0.404040,0.070707,1.497071
Negative_F1555,25.000000,5.442347,9.561645,0.280000,0.000000,0.000000,0.040000,0.000000,0.188000,0.360000,0.000000,0.511600
Negative_F1576,29.000000,5.534037,10.202654,0.172414,0.103448,0.034483,0.034483,0.034483,-0.482759,0.310345,0.034483,2.391034
Negative_F1596,73.000000,-11.520038,4.370089,0.109589,0.013699,0.027397,0.123288,0.150685,-0.312329,0.369863,0.068493,1.723836
Negative_F1600,89.000000,11.857075,9.998676,0.247191,0.044944,0.000000,0.078652,0.078652,-1.760674,0.213483,0.000000,3.202697
Negative_F1628,13.000000,0.554947,8.750052,0.076923,0.000000,0.000000,0.000000,0.000000,1.707692,0.615385,0.076923,-2.167692
Negative_F1636,30.000000,1.526975,9.196044,0.100000,0.033333,0.000000,0.033333,0.033333,0.246667,0.400000,0.066667,0.690667
Negative_F1638,13.000000,0.554947,8.750052,0.076923,0.000000,0.000000,0.000000,0.000000,1.615385,0.615385,0.076923,-1.970000
Negative_F1642,24.000000,2.542517,9.696061,0.041667,0.083333,0.041667,0.000000,0.000000,1.220833,0.583333,0.041667,-0.257083
Negative_F1643,24.000000,3.498424,9.701283,0.166667,0.000000,0.000000,0.000000,0.000000,0.970833,0.583333,0.125000,-0.672917
Negative_F1665,30.000000,4.849715,11.542500,0.033333,0.133333,0.000000,0.000000,0.000000,0.223333,0.333333,0.066667,1.460667
Negative_F1666,30.000000,4.537506,10.332815,0.100000,0.066667,0.033333,0.000000,0.000000,0.020000,0.300000,0.000000,1.119000
Negative_F1696,46.000000,-0.587512,6.698327,0.086957,0.000000,0.021739,0.065217,0.021739,-0.263043,0.260870,0.043478,1.223261
Negative_F1736,21.000000,-3.514718,4.050028,0.000000,0.000000,0.000000,0.142857,0.000000,0.476190,0.428571,0.142857,0.768095
Negative_F1776,40.000000,-0.358167,6.958195,0.100000,0.050000,0.050000,0.050000,0.100000,-0.272500,0.475000,0.150000,1.503250
Negative_F1790,48.000000,1.268785,9.099600,0.145833,0.041667,0.000000,0.041667,0.104167,-0.470833,0.375000,0.062500,1.795833
Negative_F1798,24.000000,3.498424,9.701283,0.166667,0.000000,0.000000,0.000000,0.000000,1.004167,0.458333,0.041667,-0.785000
Negative_F1799,24.000000,3.498424,9.701283,0.166667,0.000000,0.000000,0.000000,0.000000,0.970833,0.458333,0.083333,-0.706250
Negative_F1810,21.000000,2.549936,10.302064,0.142857,0.000000,0.000000,0.000000,0.000000,0.861905,0.523810,0.000000,-0.760476
Negative_F1884,30.000000,11.539788,11.999968,0.233333,0.166667,0.000000,0.000000,0.000000,-0.273333,0.433333,0.100000,2.287000
Negative_F1916,24.000000,3.503385,10.106725,0.083333,0.083333,0.000000,0.000000,0.000000,1.025000,0.541667,0.166667,-0.144167
Negative_F1995,18.000000,4.559528,10.479352,0.222222,0.055556,0.055556,0.000000,0.000000,0.211111,0.500000,0.166667,0.555000
Negative_F1996,15.000000,4.527863,11.724108,0.133333,0.200000,0.000000,0.000000,0.000000,-0.226667,0.333333,0.000000,2.478667
Negative_F1998,18.000000,3.313948,11.097024,0.111111,0.111111,0.055556,0.000000,0.000000,0.361111,0.555556,0.111111,1.130000
Negative_F1999,22.000000,6.520190,10.665150,0.227273,0.090909,0.045455,0.000000,0.000000,-0.263636,0.409091,0.045455,1.559091
Negative_F2008,23.000000,0.626141,8.605449,0.086957,0.000000,0.086957,0.043478,0.000000,0.634783,0.521739,0.043478,-0.176522
Negative_F2061,66.000000,-2.638010,5.216308,0.106061,0.015152,0.015152,0.060606,0.090909,-0.171212,0.318182,0.060606,1.528485
Negative_F2116,33.000000,1.193033,8.767072,0.151515,0.000000,0.000000,0.090909,0.000000,0.500000,0.454545,0.060606,0.265455
Negative_F2122,140.000000,-9.703239,4.665708,0.107143,0.000000,0.007143,0.042857,0.128571,-0.402857,0.385714,0.042857,1.306286
Negative_F2147,17.000000,2.584057,10.001383,0.176471,0.000000,0.058824,0.000000,0.000000,0.805882,0.588235,0.117647,-0.797647
Negative_F2148,18.000000,2.586563,10.302064,0.166667,0.000000,0.055556,0.000000,0.000000,1.116667,0.611111,0.000000,-1.051111
Negative_F2162,22.000000,5.198320,11.999968,0.181818,0.090909,0.000000,0.000000,0.000000,0.045455,0.500000,0.136364,0.855455
Negative_F2258,91.000000,7.398475,9.371205,0.098901,0.043956,0.010989,0.032967,0.021978,-0.326374,0.329670,0.054945,1.602637
