ID,PseAAC_lambda1,PseAAC_lambda2,PseAAC_lambda3,PseAAC_lambda4,PseAAC_lambda5
Negative_F1628,0.054022,0.071235,0.048117,0.013398,0.050048
Negative_F1636,0.065956,0.064372,0.062190,0.056325,0.055042
Negative_F1638,0.048783,0.084076,0.052870,0.022743,0.052503
Negative_F1642,0.048103,0.066633,0.060540,0.046408,0.059457
Negative_F1643,0.062204,0.076471,0.054135,0.038951,0.060272
Negative_F1665,0.063679,0.090817,0.072908,0.071317,0.067028
Negative_F1666,0.068841,0.050741,0.065284,0.056242,0.075344
Negative_F1696,0.050861,0.039934,0.042618,0.053328,0.048656
Negative_F1736,0.065403,0.048994,0.061923,0.062418,0.039828
Negative_F1776,0.063451,0.084513,0.071245,0.059992,0.070182
Negative_F1790,0.079307,0.068709,0.067088,0.066825,0.077934
Negative_F1798,0.051307,0.063504,0.055315,0.033903,0.058094
Negative_F1799,0.054951,0.065619,0.059616,0.041316,0.061222
Negative_F1810,0.061717,0.063897,0.041215,0.063852,0.065212
Negative_F1884,0.079632,0.108821,0.065996,0.055090,0.114074
Negative_F1916,0.060882,0.081641,0.064798,0.045301,0.087560
Negative_F1995,0.064750,0.066936,0.081500,0.062200,0.095115
Negative_F1996,0.098325,0.101358,0.060049,0.105004,0.074331
Negative_F1998,0.081678,0.103174,0.061398,0.054247,0.082593
Negative_F1999,0.064978,0.081199,0.067801,0.083931,0.073787
Negative_F2008,0.058621,0.074355,0.041220,0.043357,0.067509
Negative_F2061,0.057679,0.067820,0.063379,0.050499,0.044853
Negative_F2116,0.063817,0.065043,0.058742,0.055797,0.069529
Negative_F2122,0.051899,0.060716,0.061546,0.056559,0.063407
Negative_F2147,0.053543,0.080366,0.060496,0.058972,0.088837
Negative_F2148,0.067456,0.071773,0.032278,0.035583,0.073366
Negative_F2162,0.064083,0.098432,0.083142,0.052727,0.064838
Negative_F2258,0.050914,0.054369,0.058716,0.065007,0.056686
Negative_F2350,0.061047,0.070447,0.065396,0.059203,0.066515
Negative_F2351,0.065817,0.070932,0.062070,0.052703,0.060291
Negative_F2396,0.101029,0.062483,0.111908,0.067711,0.085160
Negative_F8,0.086921,0.081366,0.089784,0.045504,0.078260
Negative_F10,0.072831,0.076047,0.050486,0.060788,0.081785
Negative_F29,0.092355,0.073621,0.073899,0.078284,0.044358
Negative_F31,0.079286,0.081835,0.059891,0.056728,0.076632
Negative_F32,0.074905,0.054548,0.073355,0.064756,0.072091
Negative_F39,0.072696,0.074157,0.062899,0.065303,0.075909
Negative_F53,0.054553,0.076626,0.064671,0.037165,0.072384
Negative_F56,0.061187,0.065964,0.039259,0.049317,0.055302
Negative_F76,0.049762,0.068854,0.042219,0.035697,0.064680
Negative_F86,0.063455,0.071580,0.049648,0.043902,0.068386
Negative_F94,0.071803,0.091592,0.071499,0.059714,0.078284
Negative_F106,0.060611,0.067182,0.058575,0.067488,0.065366
Negative_F115,0.058779,0.073422,0.063014,0.069853,0.075820
Negative_F193,0.083494,0.084556,0.060974,0.054541,0.071090
Negative_F205,0.068266,0.084493,0.055327,0.053664,0.082300
Negative_F213,0.057942,0.072826,0.067446,0.071230,0.059761
Negative_F241,0.070440,0.068667,0.068716,0.064308,0.068485
Negative_F252,0.062382,0.076083,0.046103,0.046103,0.059276
Negative_F255,0.067225,0.078507,0.066221,0.076715,0.081963
Negative_F259,0.062370,0.101673,0.061100,0.060156,0.104858
Negative_F260,0.061308,0.099941,0.066076,0.061019,0.096978
Negative_F262,0.051598,0.077258,0.052398,0.056154,0.071823
Negative_F267,0.092605,0.075097,0.087209,0.070947,0.093428
Negative_F270,0.064163,0.077293,0.074699,0.080488,0.081308
Negative_F274,0.072445,0.061960,0.073886,0.085922,0.048126
Negative_F289,0.092600,0.042619,0.087290,0.064031,0.078089
Negative_F290,0.093026,0.076414,0.107306,0.056156,0.071719
Negative_F296,0.085339,0.103127,0.064034,0.072909,0.109013
Negative_F318,0.072790,0.068363,0.065741,0.059787,0.049484
Negative_F326,0.060893,0.072885,0.055714,0.024877,0.067177
Negative_F329,0.061518,0.070497,0.059669,0.060590,0.069631
Negative_F332,0.068823,0.064415,0.072274,0.068140,0.072495
Negative_F347,0.038859,0.064473,0.057594,0.059447,0.101554
Negative_F349,0.052602,0.059512,0.049501,0.029833,0.046222
Negative_F362,0.108147,0.118240,0.053356,0.114136,0.067117
Negative_F368,0.075605,0.076458,0.073210,0.048624,0.082514
Negative_F369,0.049091,0.087413,0.079638,0.059438,0.083887
Negative_F373,0.046196,0.069578,0.060052,0.047670,0.072049
Negative_F377,0.062763,0.085070,0.039754,0.044039,0.087473
Negative_F396,0.065502,0.063300,0.052038,0.044141,0.071463
Negative_F397,0.083686,0.092648,0.053221,0.044625,0.088611
Negative_F403,0.047161,0.068292,0.059771,0.064216,0.067425
Negative_F452,0.070896,0.068687,0.066874,0.065389,0.077637
Negative_F467,0.061034,0.079103,0.068855,0.033483,0.066043
Negative_F469,0.063428,0.100951,0.067370,0.054941,0.090766
Negative_F470,0.073512,0.075379,0.065790,0.060822,0.083613
Negative_F481,0.049968,0.074254,0.040267,0.020619,0.048346
Negative_F490,0.065824,0.080451,0.055518,0.071860,0.077815
Negative_F496,0.062347,0.060609,0.059299,0.063795,0.069337
Negative_F502,0.062668,0.058316,0.050514,0.053105,0.058497
Negative_F509,0.075476,0.077417,0.067369,0.053941,0.068720
Negative_F524,0.057857,0.070513,0.074087,0.062410,0.056091
Negative_F528,0.096301,0.107709,0.060670,0.069069,0.108784
Negative_F534,0.066916,0.063218,0.062063,0.045008,0.069363
Negative_F539,0.085157,0.113519,0.085058,0.054634,0.090609
Negative_F540,0.081384,0.111076,0.081216,0.062680,0.087418
Negative_F542,0.048392,0.069505,0.046244,0.035975,0.070429
Negative_F543,0.060074,0.091124,0.039751,0.040034,0.078149
Negative_F581,0.078700,0.069623,0.063415,0.073216,0.066814
Negative_F593,0.064922,0.068968,0.059728,0.064941,0.066218
Negative_F599,0.085376,0.094908,0.055714,0.061451,0.101328
Negative_F622,0.063403,0.063096,0.065564,0.065071,0.065611
Negative_F640,0.067774,0.063370,0.067355,0.066288,0.061307
Negative_F650,0.060583,0.060699,0.061788,0.057068,0.051366
Negative_F652,0.071592,0.062158,0.068963,0.062810,0.059670
Negative_F657,0.063606,0.060853,0.060682,0.079341,0.060707
Negative_F659,0.070743,0.050825,0.057206,0.048633,0.059596
Negative_F661,0.071224,0.063299,0.062781,0.069070,0.063448
Negative_F674,0.057493,0.071816,0.045677,0.051948,0.059894
Negative_F677,0.044171,0.069882,0.057802,0.053452,0.054425
Negative_F709,0.051020,0.061965,0.050758,0.051212,0.058759
Negative_F734,0.039834,0.033531,0.040690,0.038428,0.043450
Negative_F781,0.075261,0.076225,0.061243,0.041090,0.077841
Negative_F796,0.071040,0.063437,0.058019,0.062781,0.051819
Negative_F797,0.069743,0.078236,0.071387,0.070890,0.070253
Negative_F799,0.077744,0.079747,0.056689,0.064816,0.066537
Negative_F806,0.054215,0.062270,0.051155,0.037849,0.050229
Negative_F808,0.043119,0.057462,0.039665,0.026305,0.046310
Negative_F821,0.059175,0.057092,0.057759,0.046500,0.063188
Negative_F827,0.033754,0.036210,0.039058,0.036208,0.037297
Negative_F833,0.075202,0.074693,0.061353,0.070021,0.068634
Negative_F837,0.035980,0.037906,0.050914,0.052792,0.055081
Negative_F846,0.084671,0.069160,0.078456,0.065045,0.077393
Negative_F856,0.054062,0.047393,0.047697,0.045768,0.045895
Negative_F857,0.023368,0.025528,0.022240,0.017195,0.025503
Negative_F862,0.068645,0.070370,0.055233,0.067425,0.074449
Negative_F867,0.045788,0.055472,0.036939,0.050832,0.056160
Negative_F882,0.046347,0.072812,0.046911,0.027005,0.049608
Negative_F933,0.074576,0.081884,0.072183,0.083788,0.073198
Negative_F952,0.078613,0.075270,0.076078,0.062112,0.079737
Negative_F963,0.075865,0.069212,0.063227,0.079334,0.076693
Negative_F973,0.069481,0.060600,0.068282,0.060240,0.063789
Negative_F979,0.058930,0.059183,0.067230,0.060682,0.080193
Negative_F982,0.065401,0.079306,0.060515,0.046740,0.067759
Negative_F986,0.060163,0.051228,0.061378,0.065500,0.060981
Negative_F995,0.081847,0.088927,0.072312,0.052534,0.070125
Negative_F998,0.057191,0.073719,0.067221,0.039632,0.070962
Negative_F1000,0.067803,0.082214,0.064925,0.041827,0.064109
Negative_F1003,0.063490,0.070520,0.052999,0.045418,0.064668
Negative_F1016,0.042475,0.060670,0.042676,0.033387,0.055081
Negative_F1021,0.065580,0.084842,0.050331,0.047947,0.066742
Negative_F1037,0.069937,0.068467,0.065272,0.065273,0.065951
Negative_F1052,0.074438,0.068258,0.068358,0.062043,0.065718
Negative_F1053,0.059794,0.070494,0.080700,0.069867,0.077963
Negative_F1054,0.074158,0.069502,0.073617,0.058289,0.078093
Negative_F1074,0.063085,0.068436,0.063865,0.053304,0.065605
Negative_F1082,0.049787,0.051617,0.055138,0.053146,0.048662
Negative_F1090,0.068085,0.074869,0.064897,0.062526,0.064362
Negative_F1106,0.063991,0.084831,0.053373,0.052554,0.077623
Negative_F1108,0.068607,0.070452,0.065615,0.066888,0.065725
Negative_F1109,0.067903,0.035080,0.057277,0.029037,0.070541
Negative_F1131,0.064299,0.059212,0.064478,0.065633,0.073803
Negative_F1153,0.030114,0.034513,0.030076,0.036718,0.037053
Negative_F1154,0.104763,0.166249,0.076910,0.047503,0.138062
Negative_F1166,0.060980,0.067347,0.062466,0.070808,0.053664
Negative_F1167,0.030026,0.040189,0.046178,0.047468,0.050854
Negative_F1172,0.061040,0.061946,0.064731,0.055303,0.059684
Negative_F1213,0.068376,0.071283,0.063113,0.048205,0.065666
Negative_F1217,0.089170,0.077262,0.076253,0.060842,0.066478
Negative_F1219,0.049139,0.071783,0.043324,0.014815,0.045869
Negative_F1221,0.062868,0.089992,0.073061,0.074830,0.063203
Negative_F1222,0.064464,0.084004,0.080600,0.049000,0.065170
Negative_F1226,0.032982,0.062390,0.039266,0.027253,0.046435
Negative_F1227,0.070541,0.078941,0.055520,0.074451,0.076331
Negative_F1228,0.064727,0.078209,0.038507,0.057416,0.061508
Negative_F1232,0.063561,0.077446,0.068372,0.062390,0.062949
Negative_F1244,0.061993,0.038821,0.057785,0.063498,0.050872
Negative_F1245,0.047909,0.044902,0.058368,0.046710,0.068095
Negative_F1249,0.044416,0.061752,0.054254,0.051720,0.054881
Negative_F1251,0.050348,0.043186,0.058780,0.044211,0.058368
Negative_F1267,0.067079,0.064681,0.064801,0.053770,0.057182
Negative_F1274,0.087709,0.098595,0.077498,0.063289,0.080788
Negative_F1278,0.090428,0.093340,0.081320,0.086815,0.063661
Negative_F1323,0.065248,0.076503,0.045252,0.035769,0.067482
Negative_F1325,0.062526,0.083809,0.063802,0.025331,0.056142
Negative_F1328,0.065143,0.068772,0.056908,0.044802,0.066841
Negative_F1350,0.081886,0.041819,0.090934,0.048136,0.091765
Negative_F1362,0.063395,0.064055,0.059707,0.055608,0.071250
Negative_F1413,0.047042,0.067678,0.043412,0.038651,0.048378
Negative_F1419,0.030153,0.046051,0.025396,0.023199,0.038865
Negative_F1425,0.066521,0.077862,0.057133,0.060484,0.075728
Negative_F1428,0.049404,0.068887,0.059541,0.049793,0.056073
Negative_F1490,0.061229,0.065587,0.070037,0.057833,0.053656
Negative_F1517,0.080838,0.095680,0.052799,0.059699,0.083442
Negative_F1522,0.068660,0.072412,0.064877,0.045929,0.072049
Negative_F1526,0.074327,0.073066,0.078209,0.064394,0.069798
Negative_F1527,0.076500,0.074113,0.075146,0.073984,0.049777
Negative_F1545,0.067487,0.054681,0.066884,0.051559,0.067575
Negative_F1558,0.082207,0.081790,0.062462,0.073910,0.087601
Negative_F1583,0.068176,0.089175,0.064592,0.058202,0.088277
Negative_F1591,0.046514,0.063098,0.066008,0.064019,0.060914
Negative_F1601,0.052604,0.047420,0.048832,0.051848,0.063343
Negative_F1607,0.064304,0.085891,0.072839,0.040451,0.046796
Negative_F1616,0.081912,0.074769,0.063019,0.077698,0.081438
Negative_F1644,0.066854,0.070243,0.060852,0.052572,0.063553
Negative_F1661,0.067245,0.070939,0.061580,0.059781,0.073181
Negative_F1679,0.070803,0.069357,0.066715,0.068692,0.074069
Negative_F1711,0.044880,0.047502,0.034172,0.044804,0.032073
Negative_F1721,0.070342,0.141011,0.129238,0.067531,0.036820
Negative_F1725,0.067859,0.066236,0.062352,0.047642,0.077151
Negative_F1731,0.087126,0.057871,0.064937,0.075111,0.032382
Negative_F1733,0.085826,0.056774,0.084777,0.054673,0.059217
Negative_F1752,0.051792,0.064562,0.048275,0.030232,0.062044
Negative_F1771,0.054127,0.050380,0.055866,0.059115,0.049029
Negative_F1782,0.075685,0.074367,0.074877,0.056850,0.078425
Negative_F1815,0.062644,0.065763,0.038961,0.062630,0.061511
Negative_F1822,0.073345,0.081798,0.057921,0.055947,0.082724
Negative_F1825,0.070049,0.062374,0.081171,0.067755,0.088336
Negative_F1827,0.070816,0.085659,0.040237,0.060653,0.087274
Negative_F1833,0.069136,0.060971,0.070759,0.069954,0.065404
Negative_F1834,0.072606,0.081057,0.077362,0.057552,0.084712
Negative_F1837,0.070503,0.085570,0.069375,0.086810,0.079073
Negative_F1846,0.058176,0.057233,0.060690,0.049030,0.054734
Negative_F1847,0.058623,0.063584,0.056730,0.069112,0.062410
Negative_F1859,0.099505,0.094146,0.086945,0.070389,0.114363
Negative_F1861,0.070317,0.068468,0.061802,0.071578,0.062295
Negative_F1873,0.065587,0.072222,0.057962,0.057470,0.071935
Negative_F1905,0.069252,0.074910,0.079056,0.074506,0.069238
Negative_F1909,0.067855,0.082815,0.070282,0.052242,0.065893
Negative_F1922,0.068338,0.063004,0.069472,0.061004,0.064671
Negative_F1929,0.055343,0.056892,0.047836,0.061712,0.052399
Negative_F1931,0.082921,0.098053,0.066829,0.085139,0.096988
Negative_F1953,0.064490,0.056103,0.054644,0.072268,0.070204
Negative_F1955,0.065026,0.069718,0.062598,0.054095,0.066305
Negative_F1988,0.058223,0.045585,0.053613,0.049702,0.056065
Negative_F1992,0.050585,0.070270,0.063195,0.080193,0.070518
Negative_F2032,0.089623,0.096652,0.072345,0.070646,0.085708
Negative_F2033,0.051494,0.083429,0.057362,0.053279,0.090646
Negative_F2039,0.055363,0.079798,0.107404,0.098582,0.100365
Negative_F2056,0.078685,0.081898,0.065990,0.070190,0.069286
Negative_F2066,0.084873,0.074316,0.076687,0.097087,0.081070
Negative_F2068,0.055457,0.082739,0.061678,0.046292,0.069345
Negative_F2073,0.082321,0.068397,0.070927,0.079303,0.070836
Negative_F2075,0.048251,0.085686,0.072531,0.068265,0.068191
Negative_F2080,0.055598,0.077023,0.082638,0.070960,0.087285
Negative_F2083,0.055375,0.065369,0.053711,0.045018,0.061066
Negative_F2090,0.073063,0.082647,0.068889,0.072929,0.077297
Negative_F2102,0.063229,0.057265,0.077891,0.094573,0.101817
Negative_F2106,0.060864,0.085324,0.051472,0.030663,0.060658
Negative_F2108,0.049339,0.070168,0.053895,0.046143,0.080262
Negative_F2115,0.053880,0.080734,0.058285,0.027235,0.069285
Negative_F2137,0.097872,0.099888,0.070925,0.103042,0.112527
Negative_F2152,0.088469,0.075245,0.074984,0.084028,0.087109
Negative_F2170,0.105630,0.085618,0.064722,0.077986,0.085793
Negative_F2172,0.071925,0.066459,0.078523,0.089850,0.093337
Negative_F2173,0.110828,0.086929,0.082043,0.098415,0.070951
Negative_F2178,0.062660,0.062549,0.061344,0.070509,0.064409
Negative_F2179,0.053185,0.060516,0.055238,0.051607,0.063641
Negative_F2195,0.128487,0.066552,0.100092,0.111202,0.073015
Negative_F2198,0.079761,0.076358,0.070203,0.117553,0.072206
Negative_F2205,0.093616,0.107087,0.079814,0.080551,0.072461
Negative_F2213,0.056539,0.095046,0.098618,0.115264,0.095315
Negative_F2222,0.050742,0.050479,0.056141,0.053123,0.050985
Negative_F2243,0.105120,0.103855,0.083614,0.073083,0.109899
Negative_F2246,0.089003,0.069350,0.072000,0.062216,0.064029
Negative_F2260,0.070049,0.071562,0.072021,0.071764,0.075803
Negative_F2261,0.070854,0.070974,0.078077,0.069563,0.070994
Negative_F2263,0.073026,0.074725,0.079069,0.070811,0.076276
Negative_F2266,0.065580,0.065395,0.070991,0.056931,0.071592
Negative_F2272,0.048210,0.048705,0.055217,0.059521,0.055978
