ID,Label,AAC_A,AAC_C,AAC_F,AAC_G,AAC_I,AAC_L,AAC_M,AAC_N,AAC_P,AAC_Q,AAC_S,AAC_T,AAC_V,AAC_W,AAC_Y,Length,NetCharge,pI,K_frac,R_frac,H_frac,D_frac,E_frac,GRAVY,HydrophobicFrac,AromaticFrac,BomanIndex
Positive_1170,1,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-0.442547,5.525,0.0,0.0,0.0,0.0,0.0,1.2,0.5,0.5,-1.96
Positive_1062,1,0.321429,0.0,0.0,0.035714,0.0,0.214286,0.0,0.035714,0.0,0.0,0.0,0.035714,0.107143,0.035714,0.0,28.0,5.592769,10.699383,0.214286,0.0,0.0,0.0,0.0,0.810714,0.678571,0.035714,-0.6675
Positive_1047,1,0.0,0.0,0.0,0.0,0.333333,0.0,0.0,0.0,0.0,0.333333,0.0,0.0,0.0,0.0,0.0,3.0,0.554947,8.750052,0.333333,0.0,0.0,0.0,0.0,-0.966667,0.333333,0.0,2.056667
Positive_1499,1,0.142857,0.0,0.028571,0.114286,0.114286,0.057143,0.028571,0.057143,0.028571,0.0,0.0,0.0,0.085714,0.028571,0.0,35.0,6.542105,10.728974,0.2,0.057143,0.0,0.0,0.057143,-0.071429,0.485714,0.057143,0.956571
Positive_1236,1,0.28,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.04,0.0,25.0,7.610661,10.845339,0.32,0.0,0.08,0.0,0.0,-0.188,0.56,0.04,0.368
Positive_1012,1,0.214286,0.142857,0.0,0.0,0.0,0.214286,0.0,0.0,0.142857,0.0,0.0,0.0,0.142857,0.0,0.0,14.0,0.545047,8.081644,0.0,0.071429,0.071429,0.0,0.0,1.378571,0.571429,0.0,-0.803571
Positive_1040,1,0.409091,0.090909,0.0,0.090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,-3.270456,5.982043,0.0,0.0,0.272727,0.136364,0.0,-0.422727,0.409091,0.0,1.517727
Positive_1281,1,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.554947,8.750052,0.5,0.0,0.0,0.0,0.0,-0.55,0.5,0.5,1.285
Positive_1173,1,0.0,0.0,0.3,0.0,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.0,0.1,10.0,0.51814,8.561482,0.1,0.0,0.0,0.0,0.0,0.26,0.6,0.4,-0.003
Positive_1158,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,-0.476849,5.494989,0.0,0.0,0.0,0.0,0.0,4.2,1.0,0.0,-4.04
Positive_1403,1,0.0,0.0,0.142857,0.142857,0.071429,0.071429,0.0,0.0,0.0,0.0,0.0,0.0,0.071429,0.071429,0.0,14.0,5.542419,10.699318,0.428571,0.0,0.0,0.0,0.0,-0.5,0.428571,0.214286,0.660714
Positive_1258,1,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-0.442547,5.525,0.0,0.0,0.0,0.0,0.0,2.3,1.0,0.5,-2.395
Positive_1038,1,0.333333,0.111111,0.0,0.222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,-1.393351,5.96806,0.0,0.0,0.222222,0.111111,0.0,-0.311111,0.333333,0.0,1.05
Positive_1404,1,0.0,0.0,0.142857,0.071429,0.071429,0.071429,0.0,0.0,0.142857,0.0,0.0,0.0,0.071429,0.142857,0.0,14.0,3.54743,10.47774,0.285714,0.0,0.0,0.0,0.0,-0.207143,0.5,0.285714,-0.231429
Positive_1175,1,0.0,0.0,0.2,0.0,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.1,10.0,0.51814,8.561482,0.1,0.0,0.0,0.0,0.0,-0.11,0.6,0.4,0.062
Positive_1171,1,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,2.0,-0.476849,5.494989,0.0,0.0,0.0,0.0,0.0,1.9,0.5,0.0,-2.49
Positive_1182,1,0.0,0.0,0.0,0.0,0.0,0.090909,0.0,0.0,0.363636,0.0,0.0,0.0,0.0,0.0,0.090909,11.0,4.554822,11.999968,0.0,0.454545,0.0,0.0,0.0,-2.4,0.181818,0.090909,6.347273
Positive_1681,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-0.442547,5.525,0.0,0.0,0.0,0.0,0.0,-0.4,0.0,0.0,-0.94
Positive_1074,1,0.111111,0.123457,0.049383,0.08642,0.049383,0.061728,0.024691,0.024691,0.012346,0.024691,0.049383,0.061728,0.061728,0.0,0.049383,81.0,2.022327,8.354023,0.061728,0.061728,0.0,0.049383,0.037037,0.214815,0.407407,0.098765,1.139012
Positive_1370,1,0.307692,0.0,0.0,0.0,0.0,0.384615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,3.693936,10.477805,0.153846,0.0,0.153846,0.0,0.0,0.923077,0.692308,0.0,-0.878462
Positive_1383,1,0.0,0.333333,0.166667,0.166667,0.0,0.0,0.166667,0.0,0.0,0.0,0.0,0.166667,0.0,0.0,0.0,6.0,-0.491554,5.511416,0.0,0.0,0.0,0.0,0.0,1.433333,0.333333,0.166667,-1.043333
Positive_1528,1,0.0,0.0,0.384615,0.0,0.076923,0.076923,0.0,0.0,0.230769,0.0,0.0,0.0,0.0,0.0,0.0,13.0,2.554897,11.999968,0.076923,0.153846,0.0,0.0,0.0,0.353846,0.538462,0.384615,0.819231
Positive_1744,1,0.053333,0.08,0.013333,0.106667,0.053333,0.04,0.08,0.066667,0.013333,0.04,0.026667,0.053333,0.026667,0.013333,0.026667,75.0,3.497812,8.803625,0.133333,0.026667,0.04,0.026667,0.08,-0.694667,0.306667,0.053333,1.8724
Positive_1377,1,0.181818,0.0,0.090909,0.0,0.0,0.318182,0.0,0.0,0.045455,0.0,0.0,0.0,0.0,0.0,0.0,22.0,3.693936,10.477805,0.181818,0.0,0.181818,0.0,0.0,0.427273,0.590909,0.090909,-0.309091
Positive_NA11,1,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.552442,10.002737,0.5,0.0,0.0,0.0,0.0,-0.55,0.5,0.5,1.285
Positive_1642,1,0.142857,0.0,0.0,0.071429,0.0,0.285714,0.0,0.0,0.0,0.0,0.0,0.0,0.285714,0.214286,0.0,14.0,-0.476849,5.494989,0.0,0.0,0.0,0.0,0.0,2.321429,0.928571,0.214286,-3.385
Positive_1532,1,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,2.0,-0.445053,5.524318,0.0,0.0,0.0,0.0,0.0,0.75,1.0,1.0,-1.42
Positive_1636,1,0.019608,0.117647,0.078431,0.137255,0.039216,0.019608,0.019608,0.0,0.039216,0.078431,0.0,0.058824,0.078431,0.0,0.039216,51.0,0.154788,7.554323,0.117647,0.0,0.058824,0.058824,0.039216,-0.307843,0.294118,0.117647,1.097059
Positive_1622,1,0.022727,0.181818,0.0,0.113636,0.0,0.045455,0.0,0.022727,0.045455,0.0,0.113636,0.022727,0.045455,0.045455,0.022727,44.0,0.393306,7.704321,0.068182,0.090909,0.022727,0.045455,0.090909,-0.740909,0.181818,0.068182,2.561136
Positive_1145,1,0.111111,0.0,0.0,0.0,0.166667,0.166667,0.0,0.0,0.0,0.055556,0.055556,0.0,0.0,0.0,0.0,18.0,5.625594,11.999968,0.111111,0.222222,0.111111,0.0,0.0,-0.444444,0.444444,0.0,3.105556
Positive_1033,1,0.321429,0.0,0.0,0.035714,0.0,0.214286,0.035714,0.071429,0.0,0.0,0.0,0.035714,0.107143,0.035714,0.0,28.0,3.59778,10.477869,0.142857,0.0,0.0,0.0,0.0,1.032143,0.714286,0.035714,-0.910714
Positive_NA14,1,0.125,0.15,0.025,0.15,0.025,0.05,0.0,0.075,0.0,0.0,0.075,0.025,0.075,0.0,0.025,40.0,2.490709,8.679008,0.05,0.075,0.025,0.05,0.0,0.0675,0.325,0.05,1.464
Positive_1664,1,0.111111,0.0,0.0,0.0,0.222222,0.222222,0.0,0.0,0.222222,0.0,0.0,0.0,0.111111,0.0,0.111111,9.0,-0.445053,5.524318,0.0,0.0,0.0,0.0,0.0,2.011111,0.777778,0.111111,-2.821111
Positive_NA15,1,0.153846,0.0,0.0,0.0,0.0,0.307692,0.076923,0.0,0.0,0.0,0.0,0.076923,0.076923,0.076923,0.0,13.0,2.600286,10.302322,0.230769,0.0,0.0,0.0,0.0,0.892308,0.692308,0.076923,-0.984615
Positive_1379,1,0.181818,0.0,0.090909,0.0,0.0,0.318182,0.0,0.0,0.045455,0.0,0.0,0.0,0.0,0.0,0.0,22.0,3.744286,10.477934,0.181818,0.0,0.181818,0.0,0.0,0.427273,0.590909,0.090909,-0.309091
Positive_1185,1,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.125,8.0,2.503385,9.502076,0.125,0.25,0.0,0.0,0.0,-1.375,0.375,0.375,3.53875
Positive_1246,1,0.135135,0.0,0.027027,0.108108,0.135135,0.027027,0.0,0.027027,0.027027,0.081081,0.0,0.027027,0.108108,0.027027,0.0,37.0,5.541456,10.39103,0.189189,0.027027,0.0,0.027027,0.027027,-0.072973,0.459459,0.054054,0.846757
Positive_1706,1,0.035714,0.214286,0.0,0.107143,0.0,0.035714,0.035714,0.035714,0.107143,0.035714,0.071429,0.071429,0.071429,0.0,0.0,28.0,4.405346,9.216094,0.071429,0.107143,0.0,0.0,0.0,-0.228571,0.178571,0.0,1.868571
Positive_1222,1,0.1,0.0,0.0,0.066667,0.0,0.133333,0.0,0.033333,0.3,0.033333,0.066667,0.033333,0.066667,0.0,0.0,30.0,-1.368426,5.978121,0.0,0.033333,0.066667,0.066667,0.0,-0.446667,0.3,0.0,0.938667
Positive_1647,1,0.166667,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333,0.166667,0.0,0.0,6.0,-0.441204,5.55342,0.0,0.0,0.0,0.0,0.0,1.6,0.333333,0.0,-0.545
Positive_1257,1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,2.0,-0.445053,5.524318,0.0,0.0,0.0,0.0,0.0,0.25,1.0,0.5,-0.835
Positive_1228,1,0.32,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,25.0,7.537408,10.845339,0.32,0.0,0.0,0.0,0.0,0.508,0.68,0.04,-0.4708
Positive_NA8,1,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,4.0,-0.476849,5.494989,0.0,0.0,0.0,0.0,0.0,2.475,0.75,0.25,-2.985
Positive_1230,1,0.28,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.04,0.0,25.0,7.537408,10.845339,0.32,0.0,0.0,0.0,0.0,0.372,0.64,0.04,-0.3984
Positive_1372,1,0.230769,0.0,0.0,0.0,0.0,0.307692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,7.683914,10.845339,0.307692,0.0,0.153846,0.0,0.0,-0.107692,0.538462,0.0,0.493077
Positive_1490,1,0.133333,0.0,0.0,0.066667,0.0,0.266667,0.0,0.0,0.0,0.0,0.0,0.0,0.266667,0.266667,0.0,15.0,-0.476849,5.494989,0.0,0.0,0.0,0.0,0.0,2.106667,0.933333,0.266667,-3.314667
Positive_1378,1,0.272727,0.0,0.0,0.0,0.0,0.363636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,3.744286,10.477934,0.181818,0.0,0.181818,0.0,0.0,0.581818,0.636364,0.0,-0.426364
Positive_NA4,1,0.0,0.0,0.166667,0.0,0.0,0.0,0.0,0.0,0.166667,0.0,0.0,0.0,0.166667,0.0,0.166667,6.0,-0.444631,5.835682,0.0,0.166667,0.0,0.166667,0.0,-0.65,0.5,0.333333,2.793333
Positive_1380,1,0.391304,0.0,0.0,0.043478,0.0,0.391304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,3.54743,10.47774,0.173913,0.0,0.0,0.0,0.0,1.495652,0.782609,0.0,-1.70913
Positive_NA1,1,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.1,10.0,-0.410064,6.746072,0.1,0.1,0.1,0.2,0.0,-1.0,0.4,0.2,3.077
Positive_1283,1,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,2.0,-0.442547,5.525,0.0,0.0,0.0,0.0,0.0,3.5,1.0,0.5,-3.51
Positive_1635,1,0.047619,0.0,0.142857,0.047619,0.0,0.047619,0.0,0.0,0.047619,0.047619,0.047619,0.047619,0.095238,0.0,0.047619,21.0,2.588729,10.267122,0.095238,0.142857,0.047619,0.0,0.095238,-0.828571,0.380952,0.190476,2.909524
Positive_1608,1,0.0,0.0,0.142857,0.0,0.0,0.0,0.142857,0.285714,0.0,0.0,0.142857,0.0,0.0,0.0,0.0,7.0,-2.441654,4.050028,0.0,0.0,0.0,0.285714,0.0,-1.442857,0.285714,0.142857,4.112857
Positive_1665,1,0.111111,0.0,0.222222,0.0,0.222222,0.222222,0.0,0.0,0.111111,0.0,0.0,0.0,0.111111,0.0,0.0,9.0,-0.442547,5.525,0.0,0.0,0.0,0.0,0.0,2.955556,0.888889,0.222222,-3.498889
Positive_1205,1,0.1,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,10.0,2.589043,11.166263,0.2,0.1,0.1,0.0,0.0,-0.66,0.5,0.4,1.666
Positive_1492,1,0.086957,0.0,0.130435,0.173913,0.086957,0.043478,0.043478,0.043478,0.0,0.0,0.086957,0.0,0.043478,0.0,0.0,23.0,2.585178,10.001383,0.173913,0.0,0.043478,0.0,0.043478,0.082609,0.434783,0.130435,0.41913
Positive_1186,1,0.0,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.166667,0.166667,6.0,1.50341,8.903229,0.166667,0.166667,0.0,0.0,0.0,-0.933333,0.333333,0.333333,2.62
Positive_NA6,1,0.0,0.0,0.166667,0.0,0.166667,0.0,0.0,0.0,0.166667,0.0,0.0,0.0,0.0,0.0,0.166667,6.0,0.591549,8.754823,0.0,0.166667,0.166667,0.0,0.0,-0.55,0.5,0.333333,1.97
Positive_1666,1,0.222222,0.0,0.222222,0.0,0.222222,0.111111,0.0,0.0,0.111111,0.0,0.0,0.0,0.111111,0.0,0.0,9.0,-0.392198,5.570017,0.0,0.0,0.0,0.0,0.0,2.733333,0.888889,0.222222,-3.153333
Positive_1249,1,0.090909,0.0,0.136364,0.181818,0.090909,0.045455,0.0,0.045455,0.0,0.0,0.090909,0.0,0.045455,0.0,0.0,22.0,2.585178,10.001383,0.181818,0.0,0.045455,0.0,0.045455,-0.0,0.409091,0.136364,0.545
Positive_1224,1,0.2,0.0,0.0,0.0,0.0,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,25.0,7.537408,10.845339,0.32,0.0,0.0,0.0,0.0,0.748,0.68,0.04,-0.844
Positive_1039,1,0.375,0.125,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,-2.344155,5.978234,0.0,0.0,0.25,0.125,0.0,-0.3,0.375,0.0,1.29875
Positive_1661,1,0.0,0.0,0.111111,0.0,0.222222,0.222222,0.0,0.0,0.222222,0.0,0.0,0.0,0.111111,0.111111,0.0,9.0,-0.442547,5.525,0.0,0.0,0.0,0.0,0.0,2.166667,0.777778,0.222222,-3.225556
Positive_1251,1,0.076923,0.0,0.038462,0.115385,0.115385,0.192308,0.0,0.0,0.038462,0.0,0.038462,0.076923,0.076923,0.038462,0.0,26.0,4.544925,10.602487,0.192308,0.0,0.0,0.0,0.0,0.842308,0.538462,0.076923,-0.880769
Positive_1172,1,0.0,0.0,0.333333,0.0,0.0,0.111111,0.0,0.111111,0.111111,0.111111,0.0,0.0,0.111111,0.0,0.111111,9.0,-0.479355,5.494364,0.0,0.0,0.0,0.0,0.0,0.722222,0.666667,0.444444,-0.62
Positive_NA10,1,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.591574,8.757208,0.25,0.0,0.25,0.0,0.0,-0.375,0.5,0.5,1.0625
Positive_NA2,1,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.1,10.0,-0.410064,6.746072,0.1,0.1,0.1,0.2,0.0,-1.0,0.4,0.2,3.077
Positive_1362,1,0.038462,0.0,0.038462,0.153846,0.076923,0.153846,0.0,0.0,0.0,0.038462,0.0,0.076923,0.115385,0.038462,0.0,26.0,4.54354,10.301548,0.230769,0.0,0.0,0.0,0.038462,0.273077,0.461538,0.076923,-0.066538
Positive_1067,1,0.321429,0.0,0.0,0.035714,0.0,0.214286,0.0,0.035714,0.0,0.0,0.0,0.035714,0.107143,0.035714,0.0,28.0,1.598673,9.52941,0.142857,0.0,0.0,0.071429,0.0,0.839286,0.678571,0.035714,-0.441071
Positive_1054,1,0.0,0.0,0.066667,0.066667,0.066667,0.066667,0.066667,0.0,0.066667,0.0,0.0,0.0,0.066667,0.0,0.066667,15.0,4.280198,11.834348,0.066667,0.333333,0.0,0.066667,0.0,-1.066667,0.4,0.133333,4.590667
Positive_1174,1,0.0,0.0,0.222222,0.0,0.0,0.111111,0.0,0.111111,0.111111,0.111111,0.0,0.0,0.111111,0.111111,0.111111,9.0,-0.479355,5.494364,0.0,0.0,0.0,0.0,0.0,0.311111,0.666667,0.444444,-0.547778
Positive_1347,1,0.210526,0.0,0.052632,0.0,0.157895,0.105263,0.0,0.105263,0.052632,0.0,0.105263,0.0,0.052632,0.0,0.0,19.0,0.6282,8.764171,0.052632,0.0,0.105263,0.0,0.0,0.778947,0.578947,0.052632,-0.205789
Positive_1073,1,0.153846,0.0,0.0,0.0,0.0,0.307692,0.0,0.0,0.0,0.0,0.0,0.076923,0.076923,0.076923,0.0,13.0,3.59778,10.477869,0.307692,0.0,0.0,0.0,0.0,0.446154,0.615385,0.076923,-0.376923
Positive_1048,1,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.557849,9.598714,0.0,0.5,0.0,0.25,0.0,-2.0,0.25,0.0,8.41
Positive_1105,1,0.0,0.0,0.0,0.0,0.0,0.666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.557428,9.750021,0.0,0.333333,0.0,0.0,0.0,1.033333,0.666667,0.0,1.693333
Positive_1882,1,0.066667,0.0,0.066667,0.066667,0.066667,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.133333,0.066667,0.0,15.0,4.544925,10.602487,0.333333,0.0,0.0,0.0,0.0,0.54,0.6,0.133333,-0.538
Positive_1160,1,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,2.0,-0.442547,5.525,0.0,0.0,0.0,0.0,0.0,1.9,0.5,0.0,-2.49
Positive_1176,1,0.0,0.0,0.111111,0.0,0.0,0.111111,0.0,0.111111,0.111111,0.111111,0.0,0.0,0.111111,0.222222,0.111111,9.0,-0.479355,5.494364,0.0,0.0,0.0,0.0,0.0,-0.1,0.666667,0.444444,-0.475556
Positive_1232,1,0.2,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,25.0,7.647287,10.845339,0.32,0.0,0.12,0.0,0.0,-0.092,0.56,0.04,0.3056
Positive_NA5,1,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.25,4.0,0.554922,8.747602,0.0,0.25,0.0,0.0,0.0,-1.15,0.5,0.5,3.02
Positive_1883,1,0.0,0.0,0.066667,0.066667,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.133333,0.133333,0.066667,0.0,15.0,4.544925,10.602487,0.333333,0.0,0.0,0.0,0.0,0.026667,0.466667,0.133333,0.253333
Positive_NA3,1,0.0,0.0,0.125,0.0,0.125,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.125,0.0,0.125,8.0,-0.408005,6.743628,0.0,0.125,0.125,0.125,0.0,-0.325,0.5,0.25,2.0625
Positive_1032,1,0.2,0.0,0.0,0.166667,0.033333,0.166667,0.033333,0.033333,0.0,0.0,0.033333,0.0,0.066667,0.033333,0.0,30.0,4.59389,10.301677,0.2,0.0,0.0,0.0,0.033333,0.35,0.533333,0.033333,-0.256333
Positive_1165,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,2.0,0.520645,8.72001,0.5,0.0,0.0,0.0,0.0,0.15,0.5,0.0,0.755
Positive_1044,1,0.131579,0.0,0.026316,0.131579,0.105263,0.078947,0.026316,0.0,0.052632,0.052632,0.0,0.0,0.078947,0.0,0.026316,38.0,6.278089,11.884827,0.052632,0.184211,0.0,0.052632,0.0,-0.107895,0.473684,0.052632,2.067368
Positive_1055,1,0.25,0.0,0.0,0.2,0.1,0.1,0.0,0.0,0.05,0.05,0.0,0.0,0.1,0.0,0.0,20.0,0.557849,9.598714,0.0,0.1,0.0,0.05,0.0,0.74,0.55,0.0,0.1765
Positive_1531,1,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,2.0,-0.445053,5.524318,0.0,0.0,0.0,0.0,0.0,1.25,1.0,0.5,-2.39
Positive_1398,1,0.083333,0.0,0.0,0.0,0.166667,0.083333,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.083333,0.0,12.0,3.52305,11.999968,0.0,0.333333,0.0,0.0,0.0,0.691667,0.666667,0.083333,2.388333
